"parametr","estimate","std_error","z_value","p_value"
"Zle|Umiarkowane",0.769748118371113,0.0368161520446693,20.9078916622566,4.53849041352123e-97
"Umiarkowane|Dobre",1.68604826345625,0.0369272180379596,45.6586862764227,0
"Dobre|Bardzo_dobre",5.19503832574234,0.0387797133323621,133.96278309791,0
"wind_speed_10m",1.44518472087393,0.0433446869870126,33.3416808686831,9.61595728752183e-244
"wind_speed_100m",0.717735016145072,0.0353400339030865,20.3094037236446,1.06185608699123e-91
"wind_gusts_10m",-1.93712558370646,0.0246146305650163,-78.6981376214359,0
"wind_dir_sin",0.10026726638748,0.00565089862700887,17.7435967278276,1.93165394921865e-70
"wind_dir_cos",0.0182901780128528,0.00599434384002388,3.05123938515678,0.00227898796564791
"temperature_2m",2.67978042520897,0.149129349043826,17.9695039399752,3.37721037898317e-72
"relative_humidity_2m",0.528769484827773,0.0387954179569279,13.6296890889237,2.6671415854972e-42
"dew_point_2m",-1.74621522543815,0.120401430089196,-14.5032764489965,1.15502349047525e-47
"apparent_temperature",-1.00469952048811,0.124227320863856,-8.08758905449783,6.08573322483877e-16
"precipitation",-0.0321259763229454,0.0174529037723669,-1.84072385558043,0.0656620362057741
"cloud_cover",-0.132175729837418,0.0194992079180765,-6.77851789635449,1.21414939184018e-11
"pressure_msl",0.0532683499067512,0.00649730200462449,8.19853377122337,2.43336708496016e-16
"shortwave_radiation",-0.581026657482221,0.0131501989382863,-44.1838682600143,0
"weather_code1",0.0430580756206903,0.0243460502285851,1.76858567268275,0.0769630434553593
"weather_code2",0.139042873393782,0.0366122510164869,3.79771441343964,0.000146036438827628
"weather_code3",0.167760959136803,0.0494154876005761,3.39490648140133,0.000686520462319582
"weather_code51",-0.0598923822374237,0.0468663702252334,-1.27793942542572,0.201270785425851
"weather_code53",-0.0650966790584778,0.067470787831374,-0.964812790109556,0.334638588524386
"weather_code55",0.0667579249824852,0.102423459450674,0.651783540026149,0.514540821499344
"weather_code61",0.0340122940733663,0.119727466872988,0.284080962887556,0.776348335636911
"weather_code63",0.474298118995712,0.224095207072694,2.11650273645457,0.0343020727174074
"weather_code65",1.00030232728278,0.824191483811647,1.21367709680361,0.224871053603873
"weather_code71",0.245691703267015,0.0587246892806661,4.18378890167929,2.86690346264189e-05
"weather_code73",-0.220609481840722,0.0840542099303246,-2.62460954690542,0.0086748382117734
"weather_code75",-0.585905982951834,0.379713023985928,-1.54302314100647,0.122825161306656
"is_day",0.85193696672636,0.0112043617656483,76.0361888116046,0
"sin_dzien",0.105407157914517,0.00855855114542903,12.3160049082389,7.42840711783378e-35
"cos_dzien",-1.20287091523696,0.0191420052797458,-62.8393367182758,0
"sin_godzina",0.572416531199619,0.0057416560842745,99.6953706035056,0
"cos_godzina",-2.19180006648808,0.0194522825634366,-112.675726323649,0
"polroczecieple",-0.0832351630731948,0.0243167081840201,-3.42296179414175,0.000619427829377802
