"klasa","p_full","p_reduced"
"Zle",0.122744637458196,0.0995728435835078
"Umiarkowane",0.136405214283212,0.116448011715552
"Dobre",0.662038096509611,0.685494846883098
"Bardzo_dobre",0.0788120517489818,0.098484297817842
