"parametr","estimate","std_error","z_value","p_value"
"Zle|Umiarkowane",0.682174797943712,0.0144131656603082,47.3299769128669,0
"Umiarkowane|Dobre",1.59514713076746,0.0147281868415657,108.3057370148,0
"Dobre|Bardzo_dobre",5.09833493216095,0.0188721064493885,270.151874452052,0
"wind_speed_10m",1.61535140707295,0.0371790531853097,43.4478898379051,0
"wind_speed_100m",0.652363721684534,0.0327404115871933,19.9253366118254,2.45390850383559e-88
"wind_gusts_10m",-1.89168920972327,0.0238849090323742,-79.2001848179213,0
"wind_dir_sin",0.0907469675263799,0.00548569922975159,16.5424613573809,1.81454270679851e-61
"wind_dir_cos",-0.00138145000202726,0.00587790732536654,-0.235024120925744,0.814190011711955
"pressure_msl",0.082572171037154,0.00623676133823953,13.2395912812758,5.18301154770831e-40
"precipitation",-0.0527348615120549,0.00564411064695268,-9.34334296591564,9.33395173203798e-21
"cloud_cover",-0.0772928653054459,0.00611777419570673,-12.6341481121823,1.36868417549777e-36
"shortwave_radiation",-0.534997059249625,0.011735712896014,-45.5870950482554,0
"is_day",0.870884164893665,0.011169395305527,77.9705741512005,0
"sin_dzien",0.147735328296848,0.00570338766775011,25.90308372903,6.14772553625951e-148
"cos_dzien",-1.08100922117716,0.015461665420229,-69.915445186315,0
"sin_godzina",0.564513344408507,0.00544365403538062,103.701179527482,0
"cos_godzina",-2.11256822408224,0.0189166346585337,-111.67780433552,0
"polroczecieple",-0.052693951387377,0.0242166091371332,-2.1759425974538,0.0295595530687314
