"predyktor","OR"
"wind_speed_10m",4.24263577382963
"wind_speed_100m",2.04978521839153
"wind_gusts_10m",0.144117608981955
"wind_dir_sin",1.1054663325899
"wind_dir_cos",1.01845846776952
"temperature_2m",14.5818911286386
"relative_humidity_2m",1.69684303234291
"dew_point_2m",0.174432884836843
"apparent_temperature",0.366154640243574
"precipitation",0.968384580866032
"cloud_cover",0.876187009349125
"pressure_msl",1.05471263918532
"shortwave_radiation",0.559323837690732
"weather_code1",1.04399852395234
"weather_code2",1.14917336790978
"weather_code3",1.18265387425342
"weather_code51",0.941865889629984
"weather_code53",0.936976872956483
"weather_code55",1.06903665978099
"weather_code61",1.03459732606536
"weather_code63",1.60688595885689
"weather_code65",2.71910376345849
"weather_code71",1.27850535375286
"weather_code73",0.802029826353077
"weather_code75",0.556601361967643
"is_day",2.34418306185519
"sin_dzien",1.1111629370494
"cos_dzien",0.300330748917539
"sin_godzina",1.77254529110066
"cos_godzina",0.111715472238469
"polroczecieple",0.92013474006241
