"predyktor","OR"
"wind_speed_10m",5.02965506932264
"wind_speed_100m",1.92007398986371
"wind_gusts_10m",0.150816832283039
"wind_dir_sin",1.09499190169236
"wind_dir_cos",0.998619503760784
"pressure_msl",1.08607705391803
"precipitation",0.948631497862559
"cloud_cover",0.92561873229466
"shortwave_radiation",0.585671012454511
"is_day",2.38902220956117
"sin_dzien",1.15920604671887
"cos_dzien",0.339252971534296
"sin_godzina",1.75859174593485
"cos_godzina",0.120926999655412
"polroczecieple",0.948670307289253
