"model","logLik","AIC","cond_H","accuracy_train","error_train","accuracy_test","error_test","MAE_ordinal_train","MAE_ordinal_test","RMSE_ordinal_train","RMSE_ordinal_test","within_one_category_train","within_one_category_test"
"Ordinal full scaled",-150050.826706535,300169.653413071,141609.310453194,0.767612424137976,0.232387575862024,0.772322257286059,0.227677742713941,0.345442170341057,0.337571932429924,0.767602024112031,0.746689991856803,0.895776159581848,0.890198626322629
"Ordinal reduced",-150460.962665441,300957.925330882,298.980648475235,0.76750771163923,0.23249228836077,0.772322257286059,0.227677742713941,0.345734492733389,0.337664748468535,0.76803672412222,0.746876423550072,0.895588549688262,0.890105810284017
