"target","model","status","komunikat"
"wind_speed_10m_next_event","GLMM RI miesiac bez predyktorow","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RI dzien_roku bez predyktorow","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RIFS sezon","dopasowano","model osobliwy"
"wind_speed_10m_next_event","GLMM RIFS miesiac","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RIFS miesiac plus dzien_roku","dopasowano","brak"
"wind_speed_10m_next_event","GLMM FIRS miesiac","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RSI miesiac","dopasowano","brak"
"wind_speed_10m_next_event","GLMM RSI-i miesiac","dopasowano","brak"
