"target","model","typ_modelu","liczba_predyktorow","parametry","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test"
"wind_speed_10m_next","Las losowy","ranger",19,"mtry = 6, ntree = 500, threads = 14",0.753807942656594,0.868221136955668,0.605233657504046,0.990031231152289,3.71868892960912,1.92839024308077,1.39053224290694,0.927830248761353
"wind_speed_10m_next","Bagging","ranger",19,"mtry = 19, ntree = 500, threads = 14",0.688390830442634,0.829693214653846,0.572638336679008,0.990896342851759,3.77284158386569,1.94238039113498,1.39957849365462,0.926779291378096
"wind_speed_10m_next","MARS degree = 1","MARS",19,"degree = 1, nk = 60",3.30646316173106,1.81836826900687,1.31103198291045,0.956273521281023,3.9682083898002,1.99203624209004,1.43049137029059,0.92298774708615
"wind_speed_10m_next","MARS degree = 2","MARS",19,"degree = 2, nk = 60",3.30646316173106,1.81836826900687,1.31103198291045,0.956273521281023,3.9682083898002,1.99203624209004,1.43049137029059,0.92298774708615
"wind_speed_10m_next","Drzewo duze","drzewo regresyjne",19,"rpart, cp = 0.0005, xval = 10",3.78800657888438,1.94628019023068,1.43650420084999,0.949905327548783,4.44037423006372,2.10721954956377,1.54904981824954,0.913824277949519
"wind_speed_10m_next","Drzewo minimum CV","drzewo regresyjne",19,"cp = 5e-04",3.78800657888438,1.94628019023068,1.43650420084999,0.949905327548783,4.44037423006372,2.10721954956377,1.54904981824954,0.913824277949519
"wind_speed_10m_next","Drzewo 1SE","drzewo regresyjne",19,"cp = 0.0008097",3.84923336965,1.96194632180649,1.44735522527452,0.949095630953814,4.45872021508883,2.11156818859558,1.55123066676025,0.913468231719099
"wind_speed_10m_next","Model zerowy","bazowy",0,"srednia ze zbioru treningowego",75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811
"wind_gusts_10m_next","Las losowy","ranger",19,"mtry = 6, ntree = 500, threads = 14",1.28579292404966,1.13392809474396,0.761250725732096,0.993666947418955,6.59614379355897,2.56829589291401,1.75100272200712,0.960844179614449
"wind_gusts_10m_next","Bagging","ranger",19,"mtry = 19, ntree = 500, threads = 14",1.19144584159983,1.09153371070244,0.721802772684817,0.994131645134152,6.74934828267432,2.59795078526794,1.76576295707479,0.959934731966579
"wind_gusts_10m_next","MARS degree = 2","MARS",19,"degree = 2, nk = 60",5.95172103677711,2.43961493616864,1.72850954777798,0.970685355652053,8.30877134207692,2.88249394484653,1.99868213990685,0.950677734070524
"wind_gusts_10m_next","MARS degree = 1","MARS",19,"degree = 1, nk = 60",6.15796989408551,2.48152571900545,1.76668479125834,0.969669496228903,8.66661454587327,2.94391143648604,2.05865467564956,0.94855351655002
"wind_gusts_10m_next","Drzewo duze","drzewo regresyjne",19,"rpart, cp = 0.0005, xval = 10",8.95649427702928,2.99274026220607,2.17732056713742,0.955885626575382,11.7895998141309,3.43359866818049,2.4744776646218,0.930014950069704
"wind_gusts_10m_next","Drzewo minimum CV","drzewo regresyjne",19,"cp = 5e-04",8.95649427702928,2.99274026220607,2.17732056713742,0.955885626575382,11.7895998141309,3.43359866818049,2.4744776646218,0.930014950069704
"wind_gusts_10m_next","Drzewo 1SE","drzewo regresyjne",19,"cp = 0.00053197",9.06450007175397,3.0107308202086,2.18966767121636,0.955353654152564,11.8070545748995,3.43613948711333,2.47831324853492,0.929911335670304
"wind_gusts_10m_next","Model zerowy","bazowy",0,"srednia ze zbioru treningowego",203.028935508605,14.2488222498775,11.2556790603371,0,182.51287692064,13.5097326739147,11.0544830362897,-0.0834271735757455
