"target","model","typ_modelu","liczba_predyktorow","parametry","prog_decyzyjny","AUC_train","Brier_train","LogLoss_train","accuracy_train","sensitivity_train","specificity_train","precision_train","F1_train","AUC_test","Brier_test","LogLoss_test","accuracy_test","sensitivity_test","specificity_test","precision_test","F1_test","TP_test","TN_test","FP_test","FN_test"
"wind_speed_10m_next_event","Las losowy","ranger",19,"mtry = 4, ntree = 500, threads = 14",0.36,NA,0.00639315288952806,0.0278132227259314,0.992984262584043,0.998427007078468,0.992066931442177,0.954979457207338,0.976220053238687,0.992726727939248,0.0132465921524448,0.0465980770343059,0.977724150733247,0.880715705765408,0.98247492941291,0.71107544141252,0.786856127886323,443,10091,180,60
"wind_speed_10m_next_event","Bagging","ranger",19,"mtry = 19, ntree = 500, threads = 14",0.39,NA,0.00543009872578602,0.0244787798102121,0.995807137029394,0.998638756125597,0.995329890232027,0.973002446284889,0.985653932852643,0.990896602664221,0.0130733492176308,0.0499228259605887,0.980415815852979,0.850894632206759,0.986758835556421,0.75886524822695,0.802249297094658,428,10135,136,75
"wind_speed_10m_next_event","MARS degree = 2","MARS",19,"degree = 2, nk = 60",0.13,NA,0.0204597131969617,0.0699635670975339,0.955889859903403,0.967572145925343,0.953920903839585,0.779689937597504,0.86352960233255,0.990660167124988,0.0128312961766268,0.0451455006366972,0.971412660107667,0.920477137176938,0.973907117125888,0.633378932968536,0.750405186385737,463,10003,268,40
"wind_speed_10m_next_event","GLM full","regresja logistyczna",19,"pelny model logistyczny",0.2,NA,0.0202264383638977,0.0700312912309967,0.961321820775832,0.961854921652853,0.961231970878093,0.807009974366133,0.87765494969569,0.990632971715032,0.0129468263704851,0.0466627368007632,0.974197141266011,0.902584493041749,0.977704215753091,0.664714494875549,0.765598650927487,454,10042,229,49
"wind_speed_10m_next_event","MARS degree = 1","MARS",19,"degree = 1, nk = 60",0.16,NA,0.0207805281135284,0.0710852129659942,0.957909938525037,0.965152156815294,0.956689320437848,0.789732927402787,0.868675043221389,0.990618164249824,0.0131575782603348,0.0461781578957304,0.971969556339335,0.914512922465209,0.974783370655243,0.639777468706537,0.752864157119476,460,10012,259,43
"wind_speed_10m_next_event","Drzewo duze","drzewo klasyfikacyjne",19,"rpart, cp = 0.0005, xval = 10",0.05,NA,0.0238777486577408,0.106819408929634,0.971622912839934,0.901627442676508,0.983420090649074,0.901627442676508,0.901627442676508,0.900904958720078,0.014809394401701,0.0721596300807338,0.981993688509374,0.807157057654076,0.990555934183624,0.807157057654076,0.807157057654076,406,10174,97,97
"wind_speed_10m_next_event","Drzewo minimum CV","drzewo klasyfikacyjne",19,"cp = 0.00061508",0.05,NA,0.0239336945403936,0.106933789903648,0.971622912839934,0.901627442676508,0.983420090649074,0.901627442676508,0.901627442676508,0.900870311187108,0.0149092631956535,0.0723616397395842,0.981993688509374,0.807157057654076,0.990555934183624,0.807157057654076,0.807157057654076,406,10174,97,97
"wind_speed_10m_next_event","Drzewo 1SE","drzewo klasyfikacyjne",19,"cp = 0.0014217",0.05,NA,0.0267460790770239,0.118606822483693,0.971622912839934,0.901627442676508,0.983420090649074,0.901627442676508,0.901627442676508,0.89885649591885,0.0166502935783455,0.0774773469218502,0.981993688509374,0.807157057654076,0.990555934183624,0.807157057654076,0.807157057654076,406,10174,97,97
"wind_speed_10m_next_event","Model zerowy","bazowy",0,"udzial klasy pozytywnej w zbiorze treningowym",0.05,NA,0.123429657409784,0.412573353047026,0.144232740980545,1,0,0.144232740980545,0.25210385232806,0.5,0.0540221166665074,0.238885365826278,0.0466864674215704,1,0,0.0466864674215704,0.0892081227276758,503,0,10271,0
