"datetime","rzeczywiste","Model_zerowy","Drzewo_duze","Drzewo_minimum_CV","Drzewo_1SE","Bagging","Las_losowy","MARS_degree_1","MARS_degree_2"
2025-01-01 01:00:00,27,18.48100777054,21.1850796221326,21.1850796221326,21.1850796221326,22.0892534920635,22.1237956349206,22.2016623165001,22.2016623165001
2025-01-01 02:00:00,27.2,18.48100777054,25.7168145216322,25.7168145216322,25.7168145216322,27.086908015873,27.0504297619048,26.8356172266287,26.8356172266287
2025-01-01 03:00:00,27.3,18.48100777054,28.2435935563815,28.2435935563815,28.2435935563815,27.1418800793651,27.0621220634921,27.0328067972724,27.0328067972724
2025-01-01 04:00:00,28.6,18.48100777054,28.2435935563815,28.2435935563815,28.2435935563815,26.1522326984127,26.9130673809524,27.1314015825943,27.1314015825943
2025-01-01 05:00:00,29.8,18.48100777054,28.2435935563815,28.2435935563815,28.2435935563815,28.7628508730159,29.0673086507936,28.4131337917788,28.4131337917788
2025-01-01 06:00:00,30.8,18.48100777054,28.2435935563815,28.2435935563815,28.2435935563815,29.4163353174603,29.867755,29.5962712156415,29.5962712156415
2025-01-01 07:00:00,33,18.48100777054,31.2410206843225,31.2410206843225,31.2410206843225,30.8281659523809,31.4172772222222,30.5822190688603,30.5822190688603
2025-01-01 08:00:00,36.3,18.48100777054,31.2410206843225,31.2410206843225,31.2410206843225,33.6371126190476,34.034913015873,32.7513043459418,32.7513043459418
2025-01-01 09:00:00,37.2,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,37.1440573015873,37.8505696825397,36.004932261564,36.004932261564
2025-01-01 10:00:00,37.2,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,38.308167936508,38.6267769047618,36.892285329461,36.892285329461
2025-01-01 11:00:00,38.2,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,38.1285131746032,38.5059813492063,36.892285329461,36.892285329461
2025-01-01 12:00:00,39,18.48100777054,38.8870556673374,38.8870556673374,40.2907797270955,38.6248066666666,39.3987937301588,37.8782331826798,37.8782331826798
2025-01-01 13:00:00,36,18.48100777054,38.8870556673374,38.8870556673374,40.2907797270955,39.2515116666667,40.0918471428572,38.6669914652549,38.6669914652549
2025-01-01 14:00:00,36.4,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,36.5708353968254,37.7595651587302,35.7091479055984,35.7091479055984
2025-01-01 15:00:00,37.8,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,36.8910787301587,37.7839021428572,36.1035270468859,36.1035270468859
2025-01-01 16:00:00,37.5,18.48100777054,38.8870556673374,38.8870556673374,40.2907797270955,39.8353576190476,40.0890233333334,37.4838540413923,37.4838540413923
2025-01-01 17:00:00,38.9,18.48100777054,34.9478795413732,34.9478795413732,34.9478795413732,39.7103327777778,39.5047870634921,37.1880696854266,37.1880696854266
2025-01-01 18:00:00,41.1,18.48100777054,38.8870556673374,38.8870556673374,40.2907797270955,39.4436523809524,40.2993963492063,38.568396679933,38.568396679933
2025-01-01 19:00:00,42.4,18.48100777054,42.2395251396648,42.2395251396648,40.2907797270955,41.4409145238095,42.3911414285714,40.7374819570145,40.7374819570145
2025-01-01 20:00:00,43.5,18.48100777054,42.2395251396648,42.2395251396648,40.2907797270955,42.9206241269841,43.7818162698412,42.019214166199,42.019214166199
