"datetime","rzeczywiste","Model_zerowy","Drzewo_duze","Drzewo_minimum_CV","Drzewo_1SE","Bagging","Las_losowy","MARS_degree_1","MARS_degree_2"
2025-01-01 01:00:00,46.4,32.0124699496944,42.3007402639203,42.3007402639203,42.3007402639203,39.3950290476191,39.7598453968254,40.731940477716,40.6069347694963
2025-01-01 02:00:00,48.2,32.0124699496944,45.498339548926,45.498339548926,45.498339548926,46.7337580158731,46.609048015873,46.0476793582398,45.8629326058255
2025-01-01 03:00:00,49,32.0124699496944,49.2305346884667,49.2305346884667,49.2305346884667,48.203063968254,47.8103678571428,47.3704030636864,47.2078428060611
2025-01-01 04:00:00,50,32.0124699496944,49.2305346884667,49.2305346884667,49.2305346884667,48.0226967460318,47.9145661111111,48.0159355472497,47.8654412811689
2025-01-01 05:00:00,53.6,32.0124699496944,49.2305346884667,49.2305346884667,49.2305346884667,50.5736944444444,50.6682088095238,49.5765695537798,49.4119759515508
2025-01-01 06:00:00,55.1,32.0124699496944,53.056881448316,53.056881448316,54.5755176613889,52.4125785714286,52.4833261111111,52.5020103046423,52.350470592969
2025-01-01 07:00:00,57.6,32.0124699496944,53.056881448316,53.056881448316,54.5755176613889,55.0930721428571,55.5090273015873,54.0370166862219,53.8782695322189
2025-01-01 08:00:00,63.4,32.0124699496944,56.2300742311772,56.2300742311772,54.5755176613889,59.8848992857142,59.1662978571428,56.9387494404343,56.7548068657048
2025-01-01 09:00:00,66.2,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,65.5805153968253,64.9770688095238,62.4882192978487,62.3122291399251
2025-01-01 10:00:00,66.6,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,67.2658080158731,67.1347665873016,64.6734341396295,64.5786681320169
2025-01-01 11:00:00,68.4,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,66.4428330158731,67.1612083333334,64.8220735730805,64.7961484957251
2025-01-01 12:00:00,69.8,32.0124699496944,68.5909356725147,68.5909356725147,68.5909356725147,69.8949724603175,69.3609402380952,66.5164453312586,66.5925094259208
2025-01-01 13:00:00,63.4,32.0124699496944,68.5909356725147,68.5909356725147,68.5909356725147,69.7137715873016,69.8793372222223,67.5490071669106,67.51227958507
2025-01-01 14:00:00,67,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,64.8836424603174,65.6425283333333,61.5256360756712,61.4208207522837
2025-01-01 15:00:00,66.2,32.0124699496944,68.5909356725147,68.5909356725147,68.5909356725147,65.1467858730158,66.0643144444444,63.5258370853757,63.5592082397294
2025-01-01 16:00:00,66.6,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,68.6586623015873,68.3425818253968,63.8086479143996,64.4192092110059
2025-01-01 17:00:00,68.8,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,67.5705776984128,67.9495299206349,63.7115323978041,64.5987263205996
2025-01-01 18:00:00,72,32.0124699496944,68.5909356725147,68.5909356725147,68.5909356725147,69.384378015873,69.3596076190477,65.9154763588679,66.8775975889337
2025-01-01 19:00:00,74.9,32.0124699496944,68.5909356725147,68.5909356725147,68.5909356725147,72.2475434920634,72.6976126190476,69.3289662445033,70.1947022953062
2025-01-01 20:00:00,78.1,32.0124699496944,74.7801382778127,74.7801382778127,74.7801382778127,75.8308080952381,75.8130968253969,72.0103466029634,72.6372873256619
2025-01-01 21:00:00,77.4,32.0124699496944,74.7801382778127,74.7801382778127,74.7801382778127,77.9092722222221,77.990173015873,74.7874708393393,75.0407211936861
2025-01-01 22:00:00,73.8,32.0124699496944,74.7801382778127,74.7801382778127,74.7801382778127,71.7711836507937,71.5309461111111,70.8853376580376,70.7468088453265
2025-01-01 23:00:00,72.4,32.0124699496944,74.7801382778127,74.7801382778127,74.7801382778127,72.553685952381,72.8512384920635,70.5589190211215,70.3434244885024
2025-01-02,63.4,32.0124699496944,74.7801382778127,74.7801382778127,74.7801382778127,65.9814544444444,66.3290934126984,66.3617129256701,66.2519202779062
2025-01-02 01:00:00,52.2,32.0124699496944,63.8500658761527,63.8500658761527,63.8500658761527,58.8255551587302,59.5153870634921,59.515688283975,59.3793214770272
