"datetime","rzeczywiste","Model_zerowy","GLM_full","Drzewo_duze","Drzewo_minimum_CV","Drzewo_1SE","Bagging","Las_losowy","MARS_degree_1","MARS_degree_2"
2025-01-01 01:00:00,1,0.154101893987321,0.0183990379927087,0.00570633413876424,0.00570633413876424,0.00570633413876424,0.0421896825396825,0.0157261904761905,0.0372262492973487,0.0545428940825178
2025-01-01 02:00:00,1,0.154101893987321,0.459798340951289,0.716432865731463,0.716432865731463,0.716432865731463,0.544842063492064,0.55847619047619,0.446388389785364,0.405362528725114
2025-01-01 03:00:00,1,0.154101893987321,0.710151035453069,0.833683473389356,0.833683473389356,0.833683473389356,0.794069841269841,0.76339365079365,0.68220924425822,0.670485181437075
2025-01-01 04:00:00,1,0.154101893987321,0.81818633440954,0.833683473389356,0.833683473389356,0.833683473389356,0.809330952380952,0.811128571428571,0.769267485145268,0.771937781909821
2025-01-01 05:00:00,1,0.154101893987321,0.933500899624241,0.978556466787375,0.978556466787375,0.978556466787375,0.913803174603175,0.940287301587302,0.907733021886558,0.942007531324924
2025-01-01 06:00:00,1,0.154101893987321,0.992376805986458,0.978556466787375,0.978556466787375,0.978556466787375,0.983878571428571,0.983147619047619,0.972801397615893,0.996816415252102
2025-01-01 07:00:00,1,0.154101893987321,0.998212742636575,0.978556466787375,0.978556466787375,0.978556466787375,1,0.9967,0.987231090131959,0.999536057114185
2025-01-01 08:00:00,1,0.154101893987321,0.999817951073674,0.978556466787375,0.978556466787375,0.978556466787375,1,0.999428571428571,0.999759471168905,0.999998526119561
2025-01-01 09:00:00,1,0.154101893987321,0.999996625470508,0.978556466787375,0.978556466787375,0.978556466787375,1,1,0.999999366044738,0.999999999997893
2025-01-01 10:00:00,1,0.154101893987321,0.999999225487166,0.978556466787375,0.978556466787375,0.978556466787375,1,1,0.999999879067225,1
2025-01-01 11:00:00,1,0.154101893987321,0.999999329339448,0.978556466787375,0.978556466787375,0.978556466787375,1,1,0.99999988052977,1
2025-01-01 12:00:00,1,0.154101893987321,0.999999774182559,0.978556466787375,0.978556466787375,0.978556466787375,1,1,0.999999980270337,1
2025-01-01 13:00:00,1,0.154101893987321,0.999999912744255,0.978556466787375,0.978556466787375,0.978556466787375,1,1,0.999999995323337,1
2025-01-01 14:00:00,1,0.154101893987321,0.999993992502262,0.978556466787375,0.978556466787375,0.978556466787375,1,0.9992,0.999998929549451,0.999999999995451
2025-01-01 15:00:00,1,0.154101893987321,0.999998828919801,0.978556466787375,0.978556466787375,0.978556466787375,1,0.9992,0.999999522840336,1
