"target","liczba_zmiennych","CV_MSE","CV_SE"
"wind_gusts_10m_next",1,8.50103869289254,0.0557856741180102
"wind_gusts_10m_next",2,7.00886362114335,0.0542181250654353
"wind_gusts_10m_next",3,6.56396756433933,0.0525636472396832
"wind_gusts_10m_next",4,6.22758975736973,0.0502543637133369
"wind_gusts_10m_next",5,6.1497129023961,0.0493007037294473
"wind_gusts_10m_next",6,6.10282349790358,0.0492425481154935
"wind_gusts_10m_next",7,6.06549249698101,0.049682740713952
"wind_gusts_10m_next",8,6.03726247626859,0.0488508584993237
"wind_gusts_10m_next",9,6.02903079083963,0.0483449353342084
"wind_gusts_10m_next",10,6.02336079642238,0.0489632074328491
"wind_gusts_10m_next",11,6.01952615155811,0.0490836044200498
"wind_gusts_10m_next",12,6.01875802655518,0.0490821910362956
"wind_gusts_10m_next",13,6.01554489221935,0.0483982260618556
"wind_gusts_10m_next",14,6.01261519021178,0.0483479408298491
"wind_gusts_10m_next",15,6.01137758916428,0.0484731499127995
"wind_gusts_10m_next",16,6.01111269570522,0.0484822570958634
"wind_gusts_10m_next",17,6.01093142346304,0.0485054868408084
"wind_gusts_10m_next",18,6.01112140646865,0.0485059619629219
"wind_gusts_10m_next",19,6.01116206783534,0.0485055590410673
