"parametr","estimate","std_error","t_value","p_value"
"(Intercept)",3.97282986685876,0.513462224350443,7.73733622153918,1.01932157790581e-14
"wind_speed_10m",1.01454333861035,0.00330667926399756,306.816373047272,0
"wind_speed_100m",0.0615091364255991,0.00185062274098895,33.2369937228423,1.18903408201078e-241
"wind_gusts_10m",-0.0653063644899659,0.00119493743602016,-54.6525387199135,0
"wind_dir_sin",0.0759443936697107,0.00549408650581722,13.8229337287099,1.92965800042537e-43
"wind_dir_cos",-0.0990223280482201,0.00657888080597962,-15.0515461472136,3.56842383731175e-51
"temperature_2m",-0.0980654283402913,0.015334428633204,-6.39511459383286,1.60734130058853e-10
"relative_humidity_2m",0.0161549875704104,0.00265746462678576,6.07909787681731,1.21050393062719e-09
"dew_point_2m",-0.0757076080887409,0.0136397143915847,-5.5505273728789,2.85123040214974e-08
"apparent_temperature",0.131416402548714,0.0100287379379599,13.1039821123742,3.22753386829306e-39
"precipitation",0.212396836231351,0.0131972429695253,16.094030906441,3.0242104558898e-58
"cloud_cover",0.00201408766834304,0.000116238530524243,17.3271948575001,3.23776841534847e-67
"pressure_msl",-0.00467914470748293,0.000427631987041469,-10.9419894892689,7.37520337944487e-28
"shortwave_radiation",0.00104887224419764,4.07096621068176e-05,25.7647003172248,3.56956688578397e-146
"is_day",-0.161756553476565,0.014915038262697,-10.8451986932627,2.13427944540079e-27
"sin_dzien",-0.0665461706611638,0.00833004055541746,-7.98869707997824,1.36998388143934e-15
"cos_dzien",-0.0821731638424268,0.0169130910761285,-4.85855385467698,1.18324136750318e-06
"sin_godzina",0.252122069149879,0.00557819102034286,45.1978191909216,0
"cos_godzina",-0.216533463872345,0.0123442219417426,-17.5412808433172,7.69359629181135e-69
"polrocze_cieple",-0.0222192688370549,0.0172277521762073,-1.28973696683083,0.197143301375439
