"target","n_total","n_train","n_test","mean_train","mean_test","sd_train","sd_test"
"wind_speed_10m_next",239973,229199,10774,18.48100777054,14.809225914238,8.69581995261619,7.17856235216996
"wind_gusts_10m_next",239973,229199,10774,32.0124699496944,28.2635975496566,14.248853333933,12.979771561232
