"target","lambda_min","lambda_1se","liczba_predyktorow_lambda_min","liczba_predyktorow_lambda_1se"
"wind_speed_10m_next",0.00497976556702182,0.0126255208069221,15,14
"wind_gusts_10m_next",0.0329783152208337,0.083612049481856,10,10
