"target","model","liczba_predyktorow","lambda","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_speed_10m_next","Ridge lambda.1se",19,"0.85022159",3.90241636314396,1.97545345760004,1.46358282264521,0.948392309936922,5.21705285929152,2.28408687647636,1.73152765043867,0.898751034522934,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Model zerowy",0,"nie dotyczy",75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811,"brak"
"wind_gusts_10m_next","Best subset k=8",8,"nie dotyczy",6.03669710049235,2.45696908822483,1.75072029895106,0.970266814011658,8.16997695752645,2.85831715481793,2.00015061308313,0.951501640910955,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, precipitation, cloud_cover, shortwave_radiation, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Cross-validation 1SE",8,"nie dotyczy",6.03669710049235,2.45696908822483,1.75072029895106,0.970266814011658,8.16997695752645,2.85831715481793,2.00015061308313,0.951501640910955,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, precipitation, cloud_cover, shortwave_radiation, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Best subset Cp",17,"nie dotyczy",6.00985011274904,2.45149956409318,1.7456871058598,0.970399046334485,8.2056647547113,2.86455315096636,2.006863668216,0.951289792136844,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Best subset Adjusted R2",17,"nie dotyczy",6.00985011274904,2.45149956409318,1.7456871058598,0.970399046334485,8.2056647547113,2.86455315096636,2.006863668216,0.951289792136844,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Validation set min",17,"nie dotyczy",6.00985011274904,2.45149956409318,1.7456871058598,0.970399046334485,8.2056647547113,2.86455315096636,2.006863668216,0.951289792136844,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Cross-validation min",17,"nie dotyczy",6.00985011274904,2.45149956409318,1.7456871058598,0.970399046334485,8.2056647547113,2.86455315096636,2.006863668216,0.951289792136844,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","OLS full",19,"nie dotyczy",6.00984887814404,2.45149931228708,1.74568836925533,0.970399052415416,8.20575319306237,2.8645685875996,2.00689081479748,0.951289267151899,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Best subset BIC",15,"nie dotyczy",6.01037416469834,2.45160644572051,1.74592674623528,0.970396465165707,8.20943742334421,2.86521158439376,2.00725623788687,0.951267396940501,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Best subset k=10",10,"nie dotyczy",6.02263549910589,2.45410584513095,1.74898749354756,0.970336073111851,8.21770647653073,2.86665423037567,2.00959628320672,0.951218310448231,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, precipitation, cloud_cover, pressure_msl, shortwave_radiation, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Lasso lambda.min",10,"0.032978315",6.03099010144643,2.45580742352621,1.74758688646757,0.970294923300768,8.24443628651908,2.87131264172313,2.00937265306137,0.951059637794693,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, precipitation, cloud_cover, pressure_msl, shortwave_radiation, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Validation set 1pct",7,"nie dotyczy",6.06500934455703,2.46272396840511,1.75591398420057,0.970127364706101,8.26558554093183,2.87499313754517,2.00983286126371,0.950934092258848,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, precipitation, cloud_cover, shortwave_radiation, sin_godzina"
"wind_gusts_10m_next","Lasso lambda.1se",10,"0.083612049",6.07632556094195,2.46502039767259,1.75167907285302,0.970071627742517,8.31797712800111,2.88409034671265,2.01463776595571,0.950623086974973,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_cos, precipitation, cloud_cover, pressure_msl, shortwave_radiation, sin_godzina, cos_godzina"
"wind_gusts_10m_next","Best subset k=5",5,"nie dotyczy",6.14936434837718,2.47979119047898,1.76416902721793,0.969711882038033,8.48267399744862,2.9125030467707,2.02361279903823,0.949645418622071,"wind_speed_10m, wind_gusts_10m, cloud_cover, shortwave_radiation, sin_godzina"
"wind_gusts_10m_next","Ridge lambda.min",19,"1.394733",6.71627185527537,2.59157709807665,1.88617087515835,0.966919632226557,8.8163808379463,2.96923910083818,2.17116280754443,0.947664478618805,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Ridge lambda.1se",19,"1.394733",6.71627185527537,2.59157709807665,1.88617087515835,0.966919632226557,8.8163808379463,2.96923910083818,2.17116280754443,0.947664478618805,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Best subset k=3",3,"nie dotyczy",6.56368775696995,2.56196950742392,1.82771167066802,0.967671170907106,8.91129417970386,2.9851790867055,2.07007036300573,0.947101057038202,"wind_speed_10m, wind_gusts_10m, shortwave_radiation"
"wind_gusts_10m_next","Model zerowy",0,"nie dotyczy",203.028935508605,14.2488222498775,11.2556790603371,0,182.51287692064,13.5097326739147,11.0544830362897,-0.0834271735757455,"brak"
