"parametr","estimate","std_error","t_value","p_value"
"(Intercept)",6.68340251040864,0.705163252888179,9.47780883793226,2.62024801060207e-21
"wind_speed_10m",0.584380286917344,0.00454122736878686,128.683335904728,0
"wind_speed_100m",0.0916634540326005,0.0025415524064219,36.0659311218564,4.89448356654735e-284
"wind_gusts_10m",0.564668287336513,0.00164106711150524,344.086042172024,0
"wind_dir_sin",-0.000735471803008331,0.00754530270847525,-0.0974741281330189,0.922349964374754
"wind_dir_cos",-0.107968674695729,0.00903510476428331,-11.9499084418523,6.64788471591493e-33
"temperature_2m",0.00374078323655515,0.0210595347882722,0.177628958766855,0.859014537373359
"relative_humidity_2m",0.0410189700140916,0.00364962856426325,11.2392177153984,2.66357357244751e-29
"dew_point_2m",-0.232291041806132,0.0187320992912441,-12.4006945614852,2.65923850314273e-35
"apparent_temperature",0.172948544151503,0.0137729654321527,12.55710289868,3.73510912211354e-36
"precipitation",0.691784482172654,0.0181244312438348,38.168617423952,9.39808707125344e-318
"cloud_cover",0.00638865553273291,0.000159636164859275,40.0201015751333,0
"pressure_msl",-0.00985822497538947,0.000587288312012973,-16.7860057381351,3.37083774805921e-63
"shortwave_radiation",0.00444583016410577,5.59086070869926e-05,79.5196016453808,0
"is_day",-0.157543250596897,0.0204835650988353,-7.69120267086001,1.46334421587586e-14
"sin_dzien",-0.0987680252775915,0.0114400596892587,-8.63352359693773,5.98616151956994e-18
"cos_dzien",-0.10334960305106,0.0232275905685651,-4.44943278752844,8.61378379926702e-06
"sin_godzina",0.781020691418453,0.00766080762827827,101.950176706628,0
"cos_godzina",-0.427121631250164,0.0169529349697044,-25.1945537462066,7.13677294246587e-140
"polrocze_cieple",-0.0654283439787354,0.0236597303334128,-2.76538840708324,0.00568596015923079
