"target","liczba_zmiennych","CV_MSE","CV_SE"
"wind_speed_10m_next",1,3.32934255591814,0.0197285989671012
"wind_speed_10m_next",2,3.27944482753088,0.019752680961043
"wind_speed_10m_next",3,3.24614499306329,0.0197698621585941
"wind_speed_10m_next",4,3.23624114026031,0.0197285777460377
"wind_speed_10m_next",5,3.22655596038284,0.0196599318895599
"wind_speed_10m_next",6,3.21676801454454,0.0194906980564991
"wind_speed_10m_next",7,3.21231730302814,0.0200881031040997
"wind_speed_10m_next",8,3.2049332563202,0.0200602332078658
"wind_speed_10m_next",9,3.20195444363534,0.0198965238550113
"wind_speed_10m_next",10,3.19698255856309,0.019505116418617
"wind_speed_10m_next",11,3.19378588287128,0.0194892742054664
"wind_speed_10m_next",12,3.19249923872394,0.019483846806635
"wind_speed_10m_next",13,3.18982092815937,0.0193618268289578
"wind_speed_10m_next",14,3.18826173874604,0.0192853865377051
"wind_speed_10m_next",15,3.18784088317051,0.019202609546619
"wind_speed_10m_next",16,3.18767433206722,0.0191814975926554
"wind_speed_10m_next",17,3.18805571018258,0.0191149583969444
"wind_speed_10m_next",18,3.18725934164054,0.0191279819342652
"wind_speed_10m_next",19,3.18724520759066,0.0191249784722434
