"CP","nsplit","rel error","xerror","xstd","target"
0.803254885353016,0,1,1,0.00508791146685402,"wind_speed_10m_next_event"
0.00142174360215379,1,0.196745114646984,0.196987113557989,0.00240614443630154,"wind_speed_10m_next_event"
0.000615080565470789,4,0.192479883840523,0.193871377578801,0.00238759163124065,"wind_speed_10m_next_event"
0.000423498094258576,7,0.19063464214411,0.193478129348418,0.00238523849690685,"wind_speed_10m_next_event"
0.000393248230382963,11,0.188940649767076,0.193084881118035,0.00238288275566614,"wind_speed_10m_next_event"
0.000362998366507351,13,0.18815415330631,0.192661383023776,0.00238034287926617,"wind_speed_10m_next_event"
0.000310061104725029,14,0.187791154939803,0.192479883840523,0.00237925343012592,"wind_speed_10m_next_event"
0.000302498638756126,18,0.186550910520903,0.192782382479279,0.00238106886822884,"wind_speed_10m_next_event"
0.000287373706818319,19,0.186248411882147,0.192994131526408,0.00238233875204404,"wind_speed_10m_next_event"
0.000262165486921975,21,0.18567366446851,0.192933631798657,0.00238197600555922,"wind_speed_10m_next_event"
0.000226873979067094,28,0.183646923588844,0.192782382479279,0.00238106886822884,"wind_speed_10m_next_event"
0.000173936717284772,30,0.18319317563071,0.192237884929518,0.00237779996077764,"wind_speed_10m_next_event"
0.000166374251315869,34,0.182497428761571,0.192812632343154,0.00238125032669403,"wind_speed_10m_next_event"
0.000151249319378063,36,0.182164680258939,0.192752132615403,0.00238088739425701,"wind_speed_10m_next_event"
0.000136124387440257,41,0.181347933934297,0.193447879484542,0.00238505737869349,"wind_speed_10m_next_event"
0.000128561921471353,43,0.181075685159417,0.194476374856313,0.00239120676522088,"wind_speed_10m_next_event"
1e-04,50,0.180137939379273,0.194627624175691,0.00239210959073888,"wind_speed_10m_next_event"
