"grupa","srednie_p","czestosc_klasy_1","n"
"[0,0.1]",0.00610175955253763,0.00427647936350075,10055
"(0.1,0.2]",0.192307692307692,0,1
"(0.2,0.3]",0.203524030110333,0.203883495145631,103
"(0.3,0.4]",0.333438864200564,0.311111111111111,135
"(0.4,0.5]",0.430850975526104,0.666666666666667,27
"(0.5,0.6]",0.574964732439826,0.272727272727273,22
"(0.6,0.7]",0.66630532820484,0.623188405797101,69
"(0.7,0.8]",0.7287332332688,0.714285714285714,14
"(0.9,1]",0.968231046931408,0.919540229885057,348
