"target","model","wariant","CP","liczba_lisci","glebokosc","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test"
"wind_speed_10m_next","Drzewo 1SE","przyciete regula 1SE","0.000124833569307864",33,6,3.44460185948323,1.85596386265553,1.34730181287097,0.954446699528572,4.07286093972288,2.01813303320739,1.45832923459558,0.920956722540302
"wind_speed_10m_next","Drzewo duze","nieprzyciete","1e-04",36,6,3.41775459873432,1.84871701423834,1.34220063666558,0.954801742400178,4.07489869585458,2.01863783177037,1.45904519053818,0.920917175174041
"wind_speed_10m_next","Drzewo CV min","przyciete minimum CV","1e-04",36,6,3.41775459873432,1.84871701423834,1.34220063666558,0.954801742400178,4.07489869585458,2.01863783177037,1.45904519053818,0.920917175174041
"wind_speed_10m_next","Model zerowy","bazowy","nie dotyczy",0,0,75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811
"wind_gusts_10m_next","Drzewo duze","nieprzyciete","1e-04",64,7,7.45388567916519,2.73018052135114,1.96515712945103,0.963286584444269,9.97522186931188,3.15835746382702,2.24690067572342,0.9407854031014
"wind_gusts_10m_next","Drzewo CV min","przyciete minimum CV","1e-04",64,7,7.45388567916519,2.73018052135114,1.96515712945103,0.963286584444269,9.97522186931188,3.15835746382702,2.24690067572342,0.9407854031014
"wind_gusts_10m_next","Drzewo 1SE","przyciete regula 1SE","0.000111209142077054",62,7,7.49856747213539,2.73835123242717,1.97100706383793,0.963066508459246,10.0035126270017,3.16283300649934,2.24829039326802,0.940617464399434
"wind_gusts_10m_next","Model zerowy","bazowy","nie dotyczy",0,0,203.028935508605,14.2488222498775,11.2556790603371,0,182.51287692064,13.5097326739147,11.0544830362897,-0.0834271735757455
