"CP","nsplit","rel error","xerror","xstd","target"
0.622068606104013,0,1,1.00001344314495,0.00334345157694251,"wind_speed_10m_next"
0.122365573164245,1,0.377931393895987,0.378097560556696,0.00150500229413949,"wind_speed_10m_next"
0.109043641032843,2,0.255565820731742,0.256852116382918,0.000841802432720026,"wind_speed_10m_next"
0.0236424428485147,3,0.1465221796989,0.146626383877032,0.000687110458428641,"wind_speed_10m_next"
0.0188898199607178,4,0.122879736850385,0.123507832439911,0.000447002742853072,"wind_speed_10m_next"
0.0155138293553988,5,0.103989916889667,0.104469297272583,0.000422068897500831,"wind_speed_10m_next"
0.0149896617838285,6,0.0884760875342683,0.0841417915601924,0.000393068198949675,"wind_speed_10m_next"
0.00491039892337021,7,0.0734864257504397,0.0736693368646216,0.000379982400072786,"wind_speed_10m_next"
0.0033766719986217,8,0.0685760268270695,0.0688051612540982,0.000301813090708923,"wind_speed_10m_next"
0.00246228537071398,9,0.0651993548284478,0.0660306663453671,0.000294154274391385,"wind_speed_10m_next"
0.00244204537524265,10,0.0627370694577338,0.0620377066659595,0.000288145142283994,"wind_speed_10m_next"
0.00238081787192877,11,0.0602950240824912,0.0602711085017515,0.000284828798521398,"wind_speed_10m_next"
0.00231016897956273,12,0.0579142062105624,0.0578195429219077,0.000282529318764644,"wind_speed_10m_next"
0.00199269443444336,13,0.0556040372309997,0.0553822476088725,0.000279448818281903,"wind_speed_10m_next"
0.00188156736431712,14,0.0536113427965563,0.0537750080652026,0.000277490732512018,"wind_speed_10m_next"
0.000825406386054361,15,0.0517297754322392,0.0519484042684466,0.000274768093850938,"wind_speed_10m_next"
0.00080969659496902,16,0.0509043690461848,0.0513392846771769,0.000270652436549728,"wind_speed_10m_next"
0.000472969537424503,17,0.0500946724512158,0.0503721554216656,0.000261372135991902,"wind_speed_10m_next"
0.000434334872116275,18,0.0496217029137913,0.0500063357995794,0.000260616811902482,"wind_speed_10m_next"
0.000421299234630228,19,0.049187368041675,0.0497970890194507,0.000260373525094701,"wind_speed_10m_next"
0.000331208906336164,20,0.0487660688070448,0.0491810864543458,0.000258594265857766,"wind_speed_10m_next"
0.000328103145975281,21,0.0484348599007087,0.0485460421272095,0.000258102783894745,"wind_speed_10m_next"
0.000321078752246137,22,0.0481067567547334,0.0482337119477555,0.000257569790701779,"wind_speed_10m_next"
0.000311463584666032,23,0.0477856780024872,0.0478519570850129,0.000256905594167388,"wind_speed_10m_next"
0.000286217996263766,24,0.0474742144178212,0.0475684105215591,0.000257258951226213,"wind_speed_10m_next"
0.00028097573848049,25,0.0471879964215574,0.0471280408245948,0.000256765910484141,"wind_speed_10m_next"
0.000275086548984759,26,0.0469070206830769,0.0469344533424228,0.000256581826266775,"wind_speed_10m_next"
0.000270672573990105,27,0.0466319341340922,0.0467676464533183,0.000256345752113574,"wind_speed_10m_next"
0.000243914089332463,28,0.0463612615601021,0.0466197977399503,0.000256108836762218,"wind_speed_10m_next"
0.000229009612048739,29,0.0461173474707696,0.046380511377229,0.000256018824918536,"wind_speed_10m_next"
0.000187617168037802,30,0.0458883378587209,0.0461744403177964,0.000255931829732519,"wind_speed_10m_next"
0.000147420219256476,31,0.0457007206906831,0.0458698225844362,0.000253740722554169,"wind_speed_10m_next"
0.000124833569307864,32,0.0455533004714266,0.0457868515471485,0.000252913048855069,"wind_speed_10m_next"
0.000116716793114432,33,0.0454284669021187,0.0457186921156399,0.000252116554527768,"wind_speed_10m_next"
0.000113492509183559,34,0.0453117501090043,0.0456182473539465,0.000251795247134671,"wind_speed_10m_next"
1e-04,35,0.0451982575998207,0.0455782938140802,0.000251702682115612,"wind_speed_10m_next"
