"target","model","wariant","CP","liczba_lisci","glebokosc","prog_decyzyjny","AUC_train","Brier_train","LogLoss_train","Accuracy_train","Sensitivity_train","Specificity_train","Precision_train","F1_train","AUC_test","Brier_test","LogLoss_test","Accuracy_test","Sensitivity_test","Specificity_test","Precision_test","F1_test","TP_test","TN_test","FP_test","FN_test"
"wind_gusts_10m_next_event","Drzewo duze","nieprzyciete","1e-04",70,10,0.15,NA,0.0173945032430201,0.0704297564432882,0.969550477968927,0.95118912797282,0.972895465728625,0.86473964634115,0.905906621186178,0.968028044871795,0.0185354729923578,0.0739726444396317,0.972340820493781,0.8994140625,0.98,0.825268817204301,0.860747663551402,921,9555,195,103
"wind_gusts_10m_next_event","Drzewo CV min","przyciete minimum CV","0.000212344280860702",31,9,0.16,NA,0.0185547193600917,0.0761689535961977,0.967613296742132,0.950764439411099,0.970682745423692,0.855240035655164,0.900475967017497,0.967804336939103,0.0182069840146247,0.0743806625956765,0.969649155374049,0.9033203125,0.976615384615385,0.80225498699046,0.849793293523197,925,9522,228,99
"wind_gusts_10m_next_event","Drzewo 1SE","przyciete regula 1SE","0.000311438278595697",22,8,0.16,NA,0.0187814240161319,0.07668883331701,0.967613296742132,0.950764439411099,0.970682745423692,0.855240035655164,0.900475967017497,0.967643629807692,0.0185297767395816,0.074992398568544,0.969649155374049,0.9033203125,0.976615384615385,0.80225498699046,0.849793293523197,925,9522,228,99
"wind_gusts_10m_next_event","Model zerowy","bazowy","nie dotyczy",0,0,0.05,NA,0.130354500256842,0.429758743355115,0.154101893987321,1,0,0.154101893987321,0.267050760058824,0.5,0.089498212471334,0.329195213548949,0.0950436235381474,1,0,0.0950436235381474,0.173588743854891,1024,0,9750,0
