"CP","nsplit","rel error","xerror","xstd","target"
0.616326255610819,0,1,1.00000825657198,0.0035271959802504,"wind_gusts_10m_next"
0.125525492621995,1,0.383673744389181,0.383893658232681,0.00164394455304842,"wind_gusts_10m_next"
0.109243887395145,2,0.258148251767186,0.260443656704701,0.000885660029247791,"wind_gusts_10m_next"
0.0225777555604847,3,0.148904364372041,0.148926985538367,0.000751863356271328,"wind_gusts_10m_next"
0.0219704801505567,4,0.126326608811556,0.130925187954651,0.000538580943898959,"wind_gusts_10m_next"
0.0168476758582879,5,0.104356128660999,0.105128957432379,0.000440511614000562,"wind_gusts_10m_next"
0.0148096431723013,6,0.0875084528027116,0.0860498040046523,0.000418942160277446,"wind_gusts_10m_next"
0.0042727650482975,7,0.0726988096304103,0.0728140666261644,0.000404234505087216,"wind_gusts_10m_next"
0.0041834616522577,8,0.0684260445821128,0.0687322639231873,0.000362270480085165,"wind_gusts_10m_next"
0.00298453194101102,9,0.0642425829298551,0.064543173401282,0.000307826694488996,"wind_gusts_10m_next"
0.00266195959802307,10,0.0612580509888441,0.0624841871789812,0.00030551223822041,"wind_gusts_10m_next"
0.00247096808163834,11,0.058596091390821,0.0588397662271267,0.000299020260246106,"wind_gusts_10m_next"
0.00225427227114866,12,0.0561251233091827,0.0554875339763365,0.000295019512458536,"wind_gusts_10m_next"
0.00196663436002995,13,0.053870851038034,0.0539688717437729,0.000293517267138447,"wind_gusts_10m_next"
0.00183394233645189,14,0.0519042166780041,0.0520229786451396,0.000291131872412456,"wind_gusts_10m_next"
0.000737712441930998,15,0.0500702743415522,0.0503380211362216,0.000287921568859773,"wind_gusts_10m_next"
0.000703130070759224,16,0.0493325618996212,0.0494199967226521,0.000282738160668839,"wind_gusts_10m_next"
0.000692196083452572,17,0.048629431828862,0.0493018242050096,0.000281649564772621,"wind_gusts_10m_next"
0.000564489464152418,18,0.0479372357454094,0.0485609353914191,0.000272292029162561,"wind_gusts_10m_next"
0.000558105588853786,19,0.047372746281257,0.0473583388357918,0.000263531594230123,"wind_gusts_10m_next"
0.000545287840424834,20,0.0468146406924032,0.0469487645696367,0.000262248145057176,"wind_gusts_10m_next"
0.00054438951453471,21,0.0462693528519783,0.0465436206474288,0.000261462412831128,"wind_gusts_10m_next"
0.000543551124749327,22,0.0457249633374436,0.0463789474000414,0.000261012631319553,"wind_gusts_10m_next"
0.000535066365260543,23,0.0451814122126943,0.0460041641705876,0.000260146019763001,"wind_gusts_10m_next"
0.0005319724228182,24,0.0446463458474338,0.0455470425665841,0.000258620754737147,"wind_gusts_10m_next"
0.000460732016450689,25,0.0441143734246156,0.0449625264061944,0.000256240443386757,"wind_gusts_10m_next"
0.000433639395442093,26,0.0436536414081649,0.0437780885188662,0.000251719199501841,"wind_gusts_10m_next"
0.000417616892246295,27,0.0432200020127228,0.0434736148020156,0.000250718762793347,"wind_gusts_10m_next"
0.000368580811006754,28,0.0428023851204765,0.0427977942041544,0.000250219876379358,"wind_gusts_10m_next"
0.00034671507763146,29,0.0424338043094697,0.042414117378339,0.000249612965505666,"wind_gusts_10m_next"
0.000343003822485342,30,0.0420870892318383,0.0422847171715631,0.000249685253350381,"wind_gusts_10m_next"
0.000269960335137717,31,0.0417440854093529,0.0420609441740189,0.000249617173398401,"wind_gusts_10m_next"
0.000264576415810392,32,0.0414741250742152,0.0418790022181989,0.00024925366353708,"wind_gusts_10m_next"
0.000241483576161198,33,0.0412095486584048,0.04152896936885,0.000248344857141077,"wind_gusts_10m_next"
0.000231442024145638,34,0.0409680650822436,0.0413445661469729,0.000248171570109547,"wind_gusts_10m_next"
0.00021930435049626,35,0.040736623058098,0.0411933109239478,0.000247929577412189,"wind_gusts_10m_next"
0.000196224989888715,36,0.0405173187076017,0.0410117834430926,0.000247800537857616,"wind_gusts_10m_next"
0.000187424238620293,37,0.040321093717713,0.040756059596711,0.000247142151740142,"wind_gusts_10m_next"
0.000179065194648893,38,0.0401336694790927,0.0405725722937935,0.000246710711572394,"wind_gusts_10m_next"
0.000178116212677084,39,0.0399546042844438,0.0403991700175162,0.000246248278874944,"wind_gusts_10m_next"
0.000160291554621994,40,0.0397764880717667,0.0401329809396344,0.000245369390054208,"wind_gusts_10m_next"
0.000155420943040804,41,0.0396161965171447,0.039821003251375,0.000244627578007617,"wind_gusts_10m_next"
0.000154572133433118,42,0.0394607755741039,0.0396554728902757,0.000243825436424548,"wind_gusts_10m_next"
0.000153320837544642,43,0.0393062034406708,0.0396351174089052,0.00024363342544369,"wind_gusts_10m_next"
0.000148876906703183,44,0.0391528826031262,0.0394940508857167,0.000242970533487697,"wind_gusts_10m_next"
0.000148317768380181,45,0.039004005696423,0.0393610160666432,0.000242182012687269,"wind_gusts_10m_next"
0.00014735637902496,46,0.0388556879280428,0.0393267755169541,0.000241818609114507,"wind_gusts_10m_next"
0.000140212903856461,47,0.0387083315490179,0.0391261167076947,0.00024093837509407,"wind_gusts_10m_next"
0.000137846721455131,48,0.0385681186451614,0.0389263515566482,0.000238316609698696,"wind_gusts_10m_next"
0.000136437452414144,49,0.0384302719237063,0.0388406384941535,0.000238123639114009,"wind_gusts_10m_next"
0.000135401188198992,50,0.0382938344712921,0.0387612961797981,0.000237659602753144,"wind_gusts_10m_next"
0.000130778541688985,51,0.0381584332830931,0.0386168383845416,0.000237106161626344,"wind_gusts_10m_next"
0.000130413995779392,52,0.0380276547414041,0.0385188993653729,0.000236862298810766,"wind_gusts_10m_next"
0.000129377098655669,53,0.0378972407456248,0.038506543417685,0.000236619651143731,"wind_gusts_10m_next"
0.000123161437497068,54,0.0377678636469691,0.0383206895111675,0.000236182967317818,"wind_gusts_10m_next"
0.000122024274614316,55,0.037644702209472,0.0381928319023774,0.000235749804540977,"wind_gusts_10m_next"
0.000120232712175065,56,0.0375226779348577,0.0381014287064332,0.000235521470379526,"wind_gusts_10m_next"
0.000119860537004455,57,0.0374024452226826,0.0380568977315084,0.000234952744645579,"wind_gusts_10m_next"
0.000118181933919945,58,0.0372825846856782,0.0379955906387613,0.00023488837536623,"wind_gusts_10m_next"
0.000116374738917655,59,0.0371644027517582,0.0378436915279164,0.00023442879891069,"wind_gusts_10m_next"
0.000114536472088634,60,0.0370480280128406,0.0377259945490402,0.000232759574405536,"wind_gusts_10m_next"
0.000111209142077054,61,0.036933491540752,0.0375818184422861,0.000232014794763267,"wind_gusts_10m_next"
0.000108866842945818,62,0.0368222823986749,0.0375305588736584,0.000231949824758004,"wind_gusts_10m_next"
1e-04,63,0.0367134155557291,0.0373535791077592,0.000231283651175088,"wind_gusts_10m_next"
