"CP","nsplit","rel error","xerror","xstd","target"
0.817553793884485,0,1,1,0.00489382774526842,"wind_gusts_10m_next_event"
0.00540770101925255,1,0.182446206115515,0.182446206115515,0.00224060057079198,"wind_gusts_10m_next_event"
0.00133069082672707,4,0.164269535673839,0.164892412231031,0.0021330493913353,"wind_gusts_10m_next_event"
0.00119856549641374,7,0.159428086070215,0.161664779161948,0.00211260875925446,"wind_gusts_10m_next_event"
0.00116081540203851,10,0.155832389580974,0.158946772366931,0.00209522410557207,"wind_gusts_10m_next_event"
0.000707814269535674,12,0.153510758776897,0.154983012457531,0.0020695818202885,"wind_gusts_10m_next_event"
0.00065118912797282,14,0.152095130237826,0.154841449603624,0.00206865953289723,"wind_gusts_10m_next_event"
0.000453001132502831,15,0.151443941109853,0.154105322763307,0.00206385631172902,"wind_gusts_10m_next_event"
0.000403454133635334,16,0.15099093997735,0.153199320498301,0.00205792768794094,"wind_gusts_10m_next_event"
0.000311438278595697,21,0.148867497168743,0.152831257078143,0.00205551380242936,"wind_gusts_10m_next_event"
0.00028312570781427,25,0.14762174405436,0.151896942242356,0.00204937218234464,"wind_gusts_10m_next_event"
0.000254813137032843,26,0.147338618346546,0.151472253680634,0.00204657382890961,"wind_gusts_10m_next_event"
0.000226500566251416,29,0.146574178935447,0.151302378255946,0.00204545330786812,"wind_gusts_10m_next_event"
0.000212344280860702,30,0.146347678369196,0.150877689694224,0.00204264904638887,"wind_gusts_10m_next_event"
0.000198187995469989,32,0.145922989807475,0.15099093997735,0.00204339726339591,"wind_gusts_10m_next_event"
0.000169875424688562,35,0.145328425821065,0.151217440543601,0.00204489279400758,"wind_gusts_10m_next_event"
0.000141562853907135,36,0.145158550396376,0.151868629671574,0.00204918575628444,"wind_gusts_10m_next_event"
0.000135900339750849,39,0.144733861834655,0.152066817667044,0.00205049034694903,"wind_gusts_10m_next_event"
0.000127406568516421,44,0.1440543601359,0.152151755379388,0.00205104917763636,"wind_gusts_10m_next_event"
0.000124575311438279,48,0.143544733861835,0.152151755379388,0.00205104917763636,"wind_gusts_10m_next_event"
0.000120328425821065,54,0.142582106455266,0.152208380520951,0.00205142163833032,"wind_gusts_10m_next_event"
0.000113250283125708,58,0.142100792751982,0.152491506228766,0.00205328282614853,"wind_gusts_10m_next_event"
0.000107587768969422,64,0.141421291053228,0.15257644394111,0.00205384082040008,"wind_gusts_10m_next_event"
1e-04,69,0.140883352208381,0.153255945639864,0.00205829877819162,"wind_gusts_10m_next_event"
