"wariant","indeks","CP","nsplit","xerror","xstd","limit_1se","target"
"minimum CV",12,0.000173936717284772,30,0.192237884929518,0.00237779996077764,NA,"wind_speed_10m_next_event"
"regula 1SE",3,0.000615080565470789,4,0.193871377578801,0.00238759163124065,0.194615684890295,"wind_speed_10m_next_event"
