"target","model","typ_modelu","liczba_predyktorow","parametry","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_gusts_10m_next","Regresja wielomianowa st. 4","wielomianowy",19,"stopień = 4",5.85021667046994,2.41872211518189,1.72227330763394,0.971185305898321,8.03794844418106,2.83512758869527,1.98964535519468,0.952285384400503,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Funkcje sklejane bs df=4","funkcje sklejane bs",19,"df = 4",5.84921506246031,2.41851505318042,1.7219566299873,0.971190239224732,8.03808868092135,2.8351523205855,1.98845030179137,0.952284551931596,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","GAM k=5","GAM",19,"k składników s() = 5",5.85778035249799,2.42028517999388,1.72361214441334,0.971148051691136,8.04471018412814,2.83631983107127,1.99089994966817,0.952245245573463,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Regresja wielomianowa st. 3","wielomianowy",19,"stopień = 3",5.85580986331826,2.41987806786174,1.72305469150743,0.971157757150975,8.04672672851247,2.83667529486765,1.98983249488252,0.9522332750264,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Regresja wielomianowa st. 2","wielomianowy",19,"stopień = 2",5.87272294820154,2.42337016326469,1.72529261549491,0.971074453335975,8.06311274913315,2.83956206995606,1.98776818222034,0.9521360048485,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","OLS full","liniowy",19,"pełny model liniowy",6.00984887814404,2.45149931228708,1.74568836925533,0.970399052415416,8.20575319306237,2.8645685875996,2.00689081479748,0.951289267151899,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Smooth spline df=10","wygładzająca funkcja sklejana",1,"df = 10, predyktor = wind_gusts_10m",8.48510974560511,2.91292117050996,2.03286648105335,0.95820738692074,11.0227981976353,3.32005996898177,2.34555206683632,0.934566813598842,"wind_gusts_10m"
"wind_gusts_10m_next","Smooth spline df=15","wygładzająca funkcja sklejana",1,"df = 15, predyktor = wind_gusts_10m",8.48467823339219,2.91284710092929,2.03195969978002,0.958209512293717,11.0251993657837,3.32042156446794,2.34559285844226,0.934552559860343,"wind_gusts_10m"
"wind_gusts_10m_next","Loess span=0.8","regresja lokalna",1,"span = 0.8, degree = 2, predyktor = wind_gusts_10m",8.67599022379817,2.94550339055961,2.03377488793339,0.957267223009055,11.0261781658261,3.32056895212644,2.34512290692473,0.934546749538456,"wind_gusts_10m"
"wind_gusts_10m_next","Smooth spline df=6","wygładzająca funkcja sklejana",1,"df = 6, predyktor = wind_gusts_10m",8.4895883786418,2.91368982196832,2.03502443696798,0.958185327833323,11.0280759895209,3.32085470768007,2.34663212136664,0.9345354837374,"wind_gusts_10m"
"wind_gusts_10m_next","Loess span=0.5","regresja lokalna",1,"span = 0.5, degree = 2, predyktor = wind_gusts_10m",8.67665502242036,2.94561623814447,2.03371401986285,0.957263948605727,11.0307302666406,3.32125432128294,2.34707778230542,0.934519727501422,"wind_gusts_10m"
"wind_gusts_10m_next","Smooth spline CV","wygładzająca funkcja sklejana",1,"cv = TRUE, df = 5.4133, predyktor = wind_gusts_10m",8.49207033227299,2.91411570330915,2.03551029868291,0.958173103203247,11.0323448411982,3.32149737937549,2.3470723839405,0.934510143114945,"wind_gusts_10m"
"wind_gusts_10m_next","Loess span=0.2","regresja lokalna",1,"span = 0.2, degree = 2, predyktor = wind_gusts_10m",8.679420617953,2.94608564335,2.03464905420931,0.95725032692404,11.0388353646159,3.32247428351461,2.35037212441993,0.934471614274898,"wind_gusts_10m"
"wind_gusts_10m_next","Funkcje schodkowe 8","funkcja schodkowa",19,"liczba przedziałów = 8",9.05277254043083,3.00878256782221,2.22137350552165,0.95541141700934,11.5451249141209,3.39781178321002,2.56962542636211,0.931466194247084,"wind_speed_10m_step_8, wind_gusts_10m_step_8, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Funkcje schodkowe 6","funkcja schodkowa",19,"liczba przedziałów = 6",9.58544361584901,3.09603675944731,2.30109914172252,0.952787795533496,12.0694975406884,3.47411823930741,2.63174855199796,0.928353430028538,"wind_speed_10m_step_6, wind_gusts_10m_step_6, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Funkcje schodkowe 4","funkcja schodkowa",19,"liczba przedziałów = 4",10.3372570646749,3.21516050371904,2.4030854601559,0.949084808828953,12.9090720285875,3.592919708063,2.73002358846491,0.923369574479396,"wind_speed_10m_step_4, wind_gusts_10m_step_4, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Model zerowy","bazowy",0,"średnia ze zbioru treningowego",203.028935508605,14.2488222498775,11.2556790603371,0,182.51287692064,13.5097326739147,11.0544830362897,-0.0834271735757455,"brak"
