"target","model","typ_modelu","liczba_predyktorow","parametry","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_speed_10m_next","Regresja wielomianowa st. 3","wielomianowy",19,"stopień = 3",3.13262457534186,1.76992219471418,1.26663110305463,0.958572457901961,3.83196092181873,1.95753950709014,1.39938787077969,0.92563194402148,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","GAM k=5","GAM",19,"k składników s() = 5",3.13555398034152,1.77074955325182,1.26736744933193,0.958533717846768,3.84189171470391,1.96007441560363,1.40118957336522,0.925439214039034,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Regresja wielomianowa st. 2","wielomianowy",19,"stopień = 2",3.15958158176584,1.77752119024383,1.27126470255611,0.958215963693476,3.84459785131936,1.96076460885017,1.39824762987654,0.925386695205098,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","OLS full","liniowy",19,"pełny model liniowy",3.18640666833226,1.78505088676269,1.27701129585991,0.957861214065397,3.86802042899468,1.96672835668648,1.40076525209379,0.924932125964111,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Smooth spline df=15","wygładzająca funkcja sklejana",1,"df = 15, predyktor = wind_speed_10m",3.30472117147599,1.81788920770106,1.310767360726,0.956296558313674,3.96796275860724,1.99197458784173,1.43117276003859,0.922992514127015,"wind_speed_10m"
"wind_speed_10m_next","Smooth spline df=10","wygładzająca funkcja sklejana",1,"df = 10, predyktor = wind_speed_10m",3.30550982822226,1.81810611027582,1.31149368543842,0.956286128685172,3.96888227237007,1.99220537906363,1.43190710954386,0.92297466883778,"wind_speed_10m"
"wind_speed_10m_next","Loess span=0.8","regresja lokalna",1,"span = 0.8, degree = 2, predyktor = wind_speed_10m",3.30657504534013,1.81839903358425,1.31152450652193,0.956272041670935,3.97090520055685,1.99271302513856,1.43150805672844,0.922935409242052,"wind_speed_10m"
"wind_speed_10m_next","Loess span=0.5","regresja lokalna",1,"span = 0.5, degree = 2, predyktor = wind_speed_10m",3.30501965965128,1.81797130330797,1.31125449329563,0.95629261094266,3.97222747864143,1.9930447758747,1.43325057927732,0.922909747380509,"wind_speed_10m"
"wind_speed_10m_next","Loess span=0.2","regresja lokalna",1,"span = 0.2, degree = 2, predyktor = wind_speed_10m",3.30609089535909,1.81826590337032,1.31131615868875,0.956278444335295,3.97554953541489,1.99387801417612,1.43373374826885,0.922845275192736,"wind_speed_10m"
"wind_speed_10m_next","Smooth spline CV","wygładzająca funkcja sklejana",1,"cv = TRUE, df = 6.3134, predyktor = wind_speed_10m",3.31128229554372,1.81969291242883,1.31368108188372,0.956209790417621,3.97967174254129,1.99491146233142,1.43451908281467,0.922765274238502,"wind_speed_10m"
"wind_speed_10m_next","Smooth spline df=6","wygładzająca funkcja sklejana",1,"df = 6, predyktor = wind_speed_10m",3.31254116292345,1.82003878060976,1.31405850777499,0.956193142466322,3.98204963049593,1.9955073616742,1.43502272897049,0.922719125828294,"wind_speed_10m"
"wind_speed_10m_next","Funkcje schodkowe 8","funkcja schodkowa",19,"liczba przedziałów = 8",4.13274118618838,2.03291445619052,1.51597623460375,0.945346368403422,5.73717044983283,2.3952391216396,1.8285791102503,0.888656950872824,"wind_speed_10m_step_8, wind_gusts_10m_step_8, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Funkcje schodkowe 6","funkcja schodkowa",19,"liczba przedziałów = 6",4.24504566259563,2.06035085910037,1.54326759166648,0.943861192534989,6.06493076404638,2.46270801437084,1.89081618781022,0.882296004638696,"wind_speed_10m_step_6, wind_gusts_10m_step_6, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Funkcje schodkowe 4","funkcja schodkowa",19,"liczba przedziałów = 4",4.38325767649531,2.09362309800387,1.57623106436892,0.942033401209672,6.44470180900071,2.53864172521463,1.96101396109132,0.874925669996353,"wind_speed_10m_step_4, wind_gusts_10m_step_4, wind_speed_100m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_speed_10m_next","Model zerowy","bazowy",0,"średnia ze zbioru treningowego",75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811,"brak"
