"grp","var1","var2","vcov","sdcor","target","model"
"dzien_roku_f","(Intercept)",NA,0.0022009174926471,0.0469139370832069,"wind_speed_10m_next","LMM RIFS dzien_roku"
"Residual",NA,NA,3.18421522905747,1.78443695014911,"wind_speed_10m_next","LMM RIFS dzien_roku"
