"grp","var1","var2","vcov","sdcor","target","model"
"miesiac_f","(Intercept)",NA,0,0,"wind_speed_10m_next","LMM RSI miesiac"
"miesiac_f","wind_speed_10m_z",NA,0.0094470900392328,0.0971961421005628,"wind_speed_10m_next","LMM RSI miesiac"
"miesiac_f","(Intercept)","wind_speed_10m_z",0,NA,"wind_speed_10m_next","LMM RSI miesiac"
"Residual",NA,NA,3.17883856084449,1.78292976890412,"wind_speed_10m_next","LMM RSI miesiac"
