"poziom","X.Intercept.","target","model","grupa"
"zima",-0.0016765243186694,"wind_speed_10m_next","LMM RIFS sezon","sezon_f"
"wiosna",0.00185490150399854,"wind_speed_10m_next","LMM RIFS sezon","sezon_f"
"lato",-0.00736066245191555,"wind_speed_10m_next","LMM RIFS sezon","sezon_f"
"jesien",0.00718228536212136,"wind_speed_10m_next","LMM RIFS sezon","sezon_f"
