"poziom","X.Intercept.","target","model","grupa"
"62",1.76757027928298,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"63",1.33319523068145,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"64",0.0733339028764375,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"65",0.104913332073213,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"66",2.17368173875339,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"67",0.505182597142247,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"68",-0.724204581487904,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"69",0.717396361344495,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"70",2.97643082893522,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"71",1.37140634000952,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"72",-0.443305558782664,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"73",0.965452777685111,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"74",1.47735532496469,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"75",2.12678628639622,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"76",4.13871172052222,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"77",2.57979319822382,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"78",2.1942083677313,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"79",0.582552198674318,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"80",1.54904062924136,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"81",1.30082631575476,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"82",0.306705884640543,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"83",-0.582886635832359,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"84",-2.93758397366346,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"85",-2.96962130884656,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"86",-1.9250078115537,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"87",-0.533831789527675,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"88",0.975643653390685,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"89",-0.875468807181291,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"90",-2.04052865313139,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"91",-1.03045355350936,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"92",-1.14468468124286,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"93",-0.613992373591184,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"94",0.0278595248331184,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"95",1.72051692977981,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"96",0.0398597079278757,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"97",1.43851262705268,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"98",-1.08215741143325,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"99",-0.055194373954381,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"100",-2.0563828021535,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"101",-0.424357901264597,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"102",-1.60037584455219,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"103",-1.62437621074173,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"104",-1.15352692141793,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"105",-1.00636678136099,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"106",-2.23843821147285,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"107",-1.63637639383649,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"108",-0.029457139159035,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"109",-0.997524541185903,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"110",-1.0493148050686,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"111",-2.13312081510164,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"112",-3.22024266520034,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"113",-1.30605556443832,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"114",-2.93618569957542,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"115",-4.25810060575208,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"116",-3.38966630284098,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"117",-3.86304194650051,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"118",-4.7092127518279,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"119",-2.9150274820136,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"120",-1.8005894256597,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"121",-1.67821913752223,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"122",-2.09822554583919,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"123",-3.47777291029997,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"124",-2.6090228130969,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"125",-3.08318794248635,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"126",-1.70758800667521,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"127",-2.29701805263286,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"128",-2.77323584492012,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"129",-4.23362654812458,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"130",-3.97420153727316,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"131",-4.41410298598409,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"132",-2.81681545721163,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"133",-1.78006279668179,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"134",-3.37435027968056,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"135",-3.3981927487241,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"136",-0.947629043055011,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"137",-0.947471145909036,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"138",-2.68907666611071,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"139",-2.66554999135913,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"140",-3.13576769209899,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"141",-4.25762691431413,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"142",-4.20978407908101,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"143",-1.75306238471853,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"144",-2.2733334807353,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"145",-1.48842676804965,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"146",-1.40142544061255,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"147",-2.12159432344481,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"148",-2.44733613560947,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"149",-2.30364973276417,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"150",-3.4228247034976,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"151",-1.50390068835607,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"152",-3.40340335454157,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"153",-3.53761592862782,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"154",-2.08780433420429,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"155",-2.34880831651557,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"156",-3.57361647791214,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"157",-3.25087471152122,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"158",-3.49056257912466,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"159",-4.85447812613301,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"160",-3.0506611304137,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"161",-4.21831052496416,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"162",-2.56275894932364,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"163",-0.285882104236773,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"164",-0.103353003479484,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"165",-1.10663146906075,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"166",-1.65153451985096,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"167",-2.92813294513025,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"168",-3.85293652915756,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"169",-2.55975890354995,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"170",-2.42317787227394,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
