"target","model","parametr","estimate","std_error","t_value","p_value"
"wind_speed_10m_next","OLS full","(Intercept)",18.48100777054,0.0037287493536461,4956.35560820644,0
"wind_speed_10m_next","OLS full","wind_speed_10m_z",8.82228251468708,0.0287542754875326,306.816373047281,0
"wind_speed_10m_next","OLS full","wind_speed_100m_z",0.766203082544736,0.023052719175926,33.2369937228439,1.18903408194686e-241
"wind_speed_10m_next","OLS full","wind_gusts_10m_z",-0.930539688439159,0.0170264677585799,-54.6525387199142,0
"wind_speed_10m_next","OLS full","wind_dir_sin_z",0.0556257102089767,0.00402416095603786,13.8229337287108,1.92965800040154e-43
"wind_speed_10m_next","OLS full","wind_dir_cos_z",-0.0626037028350077,0.00415928717373607,-15.051546147215,3.56842383723931e-51
"wind_speed_10m_next","OLS full","temperature_2m_z",-0.717835551117511,0.112247488388991,-6.39511459383278,1.60734130058934e-10
"wind_speed_10m_next","OLS full","relative_humidity_2m_z",0.177868059804448,0.0292589564123867,6.07909787681791,1.21050393062262e-09
"wind_speed_10m_next","OLS full","dew_point_2m_z",-0.522877715050046,0.0942032495155159,-5.55052737287926,2.85123040214394e-08
"wind_speed_10m_next","OLS full","apparent_temperature_z",1.20308083297227,0.0918103232021475,13.1039821123746,3.22753386827557e-39
"wind_speed_10m_next","OLS full","precipitation_z",0.0643568975675703,0.00399880539199266,16.0940309064404,3.02421045592041e-58
"wind_speed_10m_next","OLS full","cloud_cover_z",0.074201034281432,0.00428234546282105,17.3271948575001,3.23776841534681e-67
"wind_speed_10m_next","OLS full","pressure_msl_z",-0.0464902679296674,0.00424879478958276,-10.9419894892671,7.37520337959278e-28
"wind_speed_10m_next","OLS full","shortwave_radiation_z",0.20965591052939,0.00813733161837858,25.7647003172234,3.56956688591259e-146
"wind_speed_10m_next","OLS full","is_day_z",-0.0808600209692007,0.00745583582709592,-10.8451986932625,2.13427944540585e-27
"wind_speed_10m_next","OLS full","sin_dzien_z",-0.0469648162736457,0.00587890813776815,-7.98869707997772,1.36998388144509e-15
"wind_speed_10m_next","OLS full","cos_dzien_z",-0.0582147105472468,0.0119819008471437,-4.85855385467692,1.18324136750352e-06
"wind_speed_10m_next","OLS full","sin_godzina_z",0.178282280036544,0.00394448854453491,45.19781919092,0
"wind_speed_10m_next","OLS full","cos_godzina_z",-0.153108605072085,0.00872847350428253,-17.5412808433185,7.69359629163021e-69
"wind_speed_10m_next","OLS full","polrocze_cieple_z",-0.0111095884180328,0.00861384042154601,-1.28973696682888,0.197143301376116
