"target","model","parametr","estimate","std_error","t_value","p_value"
"wind_gusts_10m_next","OLS full","(Intercept)",32.0124699496947,0.0051208772500218,6251.36444142622,0
"wind_gusts_10m_next","OLS full","wind_speed_10m_z",5.08166363229099,0.039489679037016,128.683335904748,0
"wind_gusts_10m_next","OLS full","wind_speed_100m_z",1.14182746040385,0.0316594477083066,36.0659311218581,4.89448356624585e-284
"wind_gusts_10m_next","OLS full","wind_gusts_10m_z",8.04586591633524,0.0233832964148914,344.086042172023,0
"wind_gusts_10m_next","OLS full","wind_dir_sin_z",-0.000538698637303041,0.0055265807207046,-0.0974741281322243,0.922349964375385
"wind_gusts_10m_next","OLS full","wind_dir_cos_z",-0.0682597446391037,0.00571215628732605,-11.9499084418534,6.64788471582795e-33
"wind_gusts_10m_next","OLS full","temperature_2m_z",0.0273824041934456,0.154155067865102,0.177628958766425,0.859014537373697
"wind_gusts_10m_next","OLS full","relative_humidity_2m_z",0.451623040858693,0.04018278249383,11.2392177153993,2.66357357241975e-29
"wind_gusts_10m_next","OLS full","dew_point_2m_z",-1.60432765256319,0.12937401567376,-12.400694561486,2.65923850311919e-35
"wind_gusts_10m_next","OLS full","apparent_temperature_z",1.58329610705953,0.126087690754354,12.5571028986813,3.73510912205017e-36
"wind_gusts_10m_next","OLS full","precipitation_z",0.2096128353321,0.00549175866141183,38.1686174239515,9.39808707125344e-318
"wind_gusts_10m_next","OLS full","cloud_cover_z",0.235364555201598,0.00588115836637052,40.0201015751342,0
"wind_gusts_10m_next","OLS full","pressure_msl_z",-0.0979477124705782,0.00583508155535052,-16.7860057381313,3.37083774827495e-63
"wind_gusts_10m_next","OLS full","shortwave_radiation_z",0.888663587268125,0.0111754029054517,79.5196016453783,0
"wind_gusts_10m_next","OLS full","is_day_z",-0.0787538450407528,0.010239470783827,-7.691202670859,1.46334421588738e-14
"wind_gusts_10m_next","OLS full","sin_dzien_z",-0.0697053206035282,0.00807379742707219,-8.63352359693839,5.98616151953534e-18
"wind_gusts_10m_next","OLS full","cos_dzien_z",-0.0732169353771913,0.0164553413600079,-4.44943278752841,8.61378379926821e-06
"wind_gusts_10m_next","OLS full","sin_godzina_z",0.552280687253227,0.00541716262878568,101.950176706625,0
"wind_gusts_10m_next","OLS full","cos_godzina_z",-0.3020133515962,0.0119872475074764,-25.194553746207,7.13677294240686e-140
"wind_gusts_10m_next","OLS full","polrocze_cieple_z",-0.0327140365332594,0.0118298161840459,-2.76538840708098,0.00568596015927018
