"poziom","X.Intercept.","target","model","grupa"
"65",0.112642887529097,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"66",-0.0657256958674938,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"67",-0.113504855010663,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"68",-0.142550280073521,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"69",-0.0113066019114479,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"70",-0.0203224943747335,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"71",-0.104288322893884,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"72",-0.0273274722985069,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"73",0.102474623495657,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"74",0.0282717633712807,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"75",0.106482837695972,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"76",0.181471824444196,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"77",0.0439881036437819,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"78",0.0193838479382706,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"79",0.0883012993468449,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"80",0.0811688900486869,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"81",-0.113183269809398,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"82",-0.0111801544976794,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"83",-0.0414539575664263,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"84",-0.0480124660438352,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"85",-0.0394052035486867,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"86",-0.0152206634764115,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"87",-0.0528451089227778,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"88",-0.0257798958678358,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"89",-0.0239383801004895,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"90",0.011425637448198,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"91",0.0574667032351749,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"92",0.0394399061720639,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"93",0.0346484215048327,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"94",0.115265206016558,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"95",0.151269875901916,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"96",0.0145233540880753,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"97",-0.0343185188962036,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"98",0.0514739788371697,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"99",-0.0187259084757046,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"100",0.0357314688711846,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"101",0.0651606605503503,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"102",-0.0432266433523448,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"103",0.00317961803043006,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"104",0.103224069651798,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"105",0.138191231196886,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"106",-0.0235022461311946,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"107",0.105643661765667,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"108",0.0544567609324852,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"109",-0.0602400306374287,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"110",-0.000918721363385659,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"111",-0.0294974286814097,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"112",0.0985309471169918,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"113",0.0384792596300831,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"114",0.0109032144452937,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"115",0.0796847085011307,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"116",-0.0676869148255915,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"117",0.0207757221768511,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"118",-0.0285392343912572,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"119",0.0233921339327394,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"120",-0.0339682670058864,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"121",-0.100961035411539,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"122",0.0496358562634666,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"123",0.132753422829159,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"124",-0.00242088049625042,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"125",0.0842928488230384,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"126",0.0396056356938864,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"127",-0.0870820790192147,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"128",-0.0269040466955507,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"129",-0.058399619655355,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"130",-0.0697858708227439,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"131",-0.0948268454855567,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"132",0.0740996766431093,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"133",0.149447111100031,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"134",0.0249186580509863,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"135",0.0718948606991324,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"136",-0.0405047538178345,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"137",-0.0261220117439453,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"138",0.104870625644412,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"139",-0.0836669907728447,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"140",0.0820811664234282,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"141",0.00516320756477524,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"142",-0.0834485494812606,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"143",-0.0491019474017584,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"144",-0.0997885878493381,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"145",-0.00585167981347343,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"146",0.172611198573016,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"147",0.00836979818055108,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"148",0.0766564786903229,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"149",0.0633374435714389,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"150",0.126805437489937,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"151",-0.113902268398329,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"152",0.0699215562886946,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"153",0.0497580168937868,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"154",-0.0855692067903119,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"155",-0.0841644937217802,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"156",-0.0800183759966235,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"157",-0.0724443492972216,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"158",0.0277124641138291,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"159",-0.00147589365829759,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"160",-0.0137585276632594,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"161",0.0152660592520918,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"162",0.0977955096399735,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"163",0.107130224427906,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"164",0.0456411772252716,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"165",0.0140981082382849,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"166",-0.059436367872304,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"167",0.0122338997696214,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"168",0.110201209166006,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
