"good_hours","root_diff_poisson","root_diff_ZIP"
0,25.9196785112145,0.00952321129168965
1,6.95413602172745,10.7488534920528
2,1.62628169547711,6.94248867592271
3,-4.18738186952422,1.87121075379061
4,-8.44473540527131,-2.53490815959998
5,-10.185989688467,-5.161967161548
6,-11.3808296712456,-7.68900496111187
7,-1.37951564542288,0.836330893615262
8,0.231307808405173,1.06531922017128
9,-1.70358898750218,-2.00960469533711
10,-0.922094777223858,-2.06071955891251
11,0.58535744116756,-1.07292924325541
12,1.78174150016046,-0.115371221913414
13,3.24733534240418,1.34002960594138
14,3.21675880423675,1.46788990640735
15,4.8704534354294,3.38920855969815
16,4.94311521207431,3.78541412855795
17,9.61313620826268,8.79129090860664
