"zmienna","estimate","std_error","z_value","p_value","IRR"
"(Intercept)",-0.324088003538539,0.487266987128105,-0.665113812550028,0.505977700708148,0.723186596599832
"mean_wind_10m",0.0710646986919959,0.00489377199323656,14.5214568210801,8.86068807686078e-48,1.07365068741643
"max_wind_10m",-0.0322089827732041,0.00246697783860139,-13.056048688084,5.86961624857102e-39,0.968304202035516
"mean_gusts_10m",-0.0879394123232059,0.00278271460540592,-31.6020234889945,3.46315402239503e-219,0.915816362228197
"max_gusts_10m",0.0151739151739095,0.0015223887915019,9.96717478387357,2.12178478368845e-23,1.01528962353358
"mean_wind_100m",0.067809337769131,0.00238825040266172,28.3928928447189,2.4749311288226e-177,1.07016124969498
"mean_temp",-0.0188827734008588,0.00146196071167366,-12.9160607737821,3.65373754748328e-38,0.981294389304573
"mean_humidity",-0.00525928797499223,0.000514082057078893,-10.2304445420182,1.44852914487832e-24,0.994754517866441
"mean_pressure",0.00157859793316657,0.000451268589489652,3.49813386070551,0.000468525911142467,1.00157984457478
"sum_precipitation",-0.00525516310776302,0.00120858162051267,-4.34820703754689,1.3725500507371e-05,0.994758621105215
"mean_cloud_cover",0.00159374071805106,0.000185514183222588,8.590937309299,8.62626931876745e-18,1.00159501139774
"sum_shortwave",-5.98703471911398e-06,4.90220917573056e-06,-1.22129319751472,0.221975028067819,0.999994012983203
"day_hours",0.0912231661845288,0.00826084591018375,11.0428359488066,2.3741932290568e-28,1.09551345953935
"sin_dzien",-0.114390643581534,0.0110171409218105,-10.3829699913411,2.96407804526907e-25,0.891909469110362
"cos_dzien",-0.256261334481386,0.0435983976762712,-5.87776955438109,4.15831246460958e-09,0.7739396852353
