"zmienna","IRR"
"(Intercept)",0.723186596599832
"mean_wind_10m",1.07365068741643
"max_wind_10m",0.968304202035516
"mean_gusts_10m",0.915816362228197
"max_gusts_10m",1.01528962353358
"mean_wind_100m",1.07016124969498
"mean_temp",0.981294389304573
"mean_humidity",0.994754517866441
"mean_pressure",1.00157984457478
"sum_precipitation",0.994758621105215
"mean_cloud_cover",1.00159501139774
"sum_shortwave",0.999994012983203
"day_hours",1.09551345953935
"sin_dzien",0.891909469110362
"cos_dzien",0.7739396852353
