"zmienna","OR"
"(Intercept)",0.242355936099119
"mean_wind_10m",0.984043955495297
"max_gusts_10m",0.988477024098262
"sum_precipitation",1.01759019494099
"day_hours",0.980487688927813
"cos_dzien",1.89116167927738
