iter	Passed	Remaining
399	77804	63215
400	78076	63084
401	78286	62901
402	78499	62721
403	78715	62543
404	78944	62375
405	79149	62188
406	79356	62002
407	79555	61811
408	79719	61592
409	79902	61388
410	80083	61182
411	80252	60968
412	80431	60761
413	80649	60584
414	80842	60388
415	81023	60183
416	81204	59978
417	81383	59772
418	81570	59571
419	81770	59380
420	81954	59178
421	82128	58968
422	82303	58760
423	82485	58557
424	82652	58343
425	82839	58143
426	83014	57935
427	83184	57723
428	83350	57510
429	83520	57298
430	83679	57081
431	83877	56889
432	84051	56681
433	84210	56463
434	84380	56253
435	84553	56045
436	84769	55866
437	84993	55692
438	85206	55510
439	85414	55325
440	85623	55140
441	85849	54966
442	86065	54786
443	86275	54602
444	86501	54428
445	86723	54250
446	86960	54082
447	87190	53910
448	87405	53728
449	87612	53541
450	87828	53359
451	88078	53197
452	88296	53016
453	88530	52845
454	88767	52675
455	88997	52500
456	89224	52324
457	89450	52146
458	89666	51963
459	89839	51755
460	90009	51545
461	90174	51333
462	90340	51121
463	90509	50911
464	90676	50701
465	90852	50495
466	91022	50286
467	91194	50079
468	91361	49869
469	91533	49662
470	91701	49452
471	91882	49250
472	92054	49043
473	92223	48835
474	92389	48626
475	92564	48421
476	92733	48213
477	92901	48005
478	93070	47797
479	93245	47594
480	93417	47388
481	93586	47181
482	93770	46982
483	93946	46778
484	94112	46571
485	94300	46374
486	94469	46167
487	94637	45961
488	94831	45767
489	95062	45591
490	95270	45403
491	95490	45222
492	95709	45039
493	95917	44851
494	96117	44660
495	96330	44474
496	96546	44290
497	96783	44116
498	97012	43937
499	97221	43749
500	97442	43567
501	97671	43387
502	97906	43211
503	98118	43023
504	98330	42837
505	98559	42657
506	98788	42477
507	99031	42302
508	99262	42123
509	99501	41946
510	99723	41762
511	99931	41572
512	100102	41367
513	100271	41161
514	100436	40954
515	100607	40749
516	100785	40547
517	100948	40340
518	101119	40135
519	101279	39927
520	101452	39724
521	101644	39528
522	101826	39328
523	102010	39129
524	102183	38927
525	102357	38724
526	102542	38526
527	102722	38326
528	102890	38122
529	103066	37920
530	103227	37714
531	103393	37509
532	103565	37306
533	103741	37106
534	103916	36904
535	104087	36702
536	104258	36500
537	104423	36295
538	104593	36093
539	104779	35896
540	104956	35696
541	105168	35508
542	105409	35330
543	105624	35143
544	105850	34959
545	106059	34770
546	106309	34594
547	106521	34405
548	106729	34215
549	106956	34031
550	107168	33842
551	107373	33651
552	107581	33461
553	107804	33275
554	108047	33095
555	108304	32919
556	108570	32746
557	108849	32576
558	109135	32408
559	109397	32233
560	109677	32062
561	109947	31888
562	110261	31727
563	110537	31554
564	110833	31386
565	111114	31214
566	111361	31032
567	111620	30852
568	111899	30678
569	112074	30476
570	112283	30283
571	112451	30078
572	112603	29870
573	112766	29665
574	112935	29461
575	113094	29255
576	113251	29048
577	113401	28840
578	113551	28632
579	113690	28422
580	113834	28213
581	113975	28004
582	114131	27798
583	114286	27593
584	114444	27388
585	114623	27188
586	114805	26990
587	114986	26791
588	115139	26585
589	115284	26378
590	115430	26172
591	115578	25966
592	115831	25783
593	116051	25593
594	116223	25393
595	116415	25197
596	116604	25000
597	116785	24802
598	116957	24602
599	117094	24394
600	117237	24188
601	117418	23990
602	117605	23794
603	117796	23598
604	117951	23395
605	118090	23189
606	118233	22984
607	118377	22779
608	118526	22576
609	118668	22371
610	118818	22169
611	119015	21975
612	119205	21779
613	119376	21581
614	119563	21385
615	119727	21185
616	119884	20984
617	120036	20782
618	120185	20581
619	120338	20379
620	120513	20182
621	120709	19988
622	120879	19790
623	121068	19596
624	121267	19402
625	121424	19202
626	121565	19000
627	121709	18799
628	121854	18597
629	121995	18396
630	122143	18195
631	122299	17996
632	122501	17804
633	122696	17610
634	122863	17413
635	123050	17219
636	123227	17023
637	123417	16829
638	123596	16634
639	123734	16433
640	123866	16232
641	123999	16031
642	124139	15831
643	124269	15630
644	124424	15432
645	124609	15238
646	124748	15039
647	124875	14838
648	125009	14639
649	125140	14439
650	125280	14240
651	125410	14041
652	125548	13843
653	125677	13643
654	125809	13445
655	125942	13246
656	126071	13048
657	126207	12850
658	126338	12653
659	126470	12455
660	126600	12257
661	126735	12060
662	126889	11866
663	127065	11673
664	127226	11479
665	127371	11283
666	127527	11089
667	127686	10895
668	127833	10700
669	127982	10506
670	128117	10310
671	128253	10115
672	128384	9919
673	128520	9724
674	128649	9529
675	128792	9335
676	128921	9140
677	129058	8946
678	129199	8752
679	129391	8562
680	129540	8369
681	129680	8176
682	129840	7984
683	130022	7793
684	130212	7603
685	130404	7413
686	130578	7222
687	130734	7030
688	130873	6838
689	131010	6645
690	131145	6452
691	131280	6260
692	131409	6067
693	131535	5875
694	131675	5683
695	131824	5492
696	131955	5300
697	132103	5110
698	132248	4919
699	132375	4727
700	132527	4537
701	132675	4346
702	132820	4156
703	132960	3966
704	133104	3776
705	133237	3585
706	133370	3395
707	133510	3205
708	133645	3015
709	133784	2826
710	133913	2636
711	134049	2447
712	134225	2259
713	134389	2070
714	134554	1881
715	134696	1693
716	134885	1504
717	135058	1316
718	135260	1128
719	135420	940
720	135560	752
721	135703	563
722	135856	375
723	136006	187
724	136162	0
