iter	Accuracy	MultiClass
84	0.8812352941	0.340643402
85	0.8824705882	0.3385561213
86	0.8841764706	0.3362903862
87	0.8862352941	0.3343040091
88	0.8875882353	0.3315778038
89	0.8887058824	0.3298205982
90	0.8892352941	0.3278104492
91	0.8909411765	0.3260899241
92	0.8910588235	0.3245849077
93	0.8921764706	0.3234186839
94	0.8928235294	0.3216833626
95	0.8935294118	0.3200683526
96	0.8954705882	0.3178423137
97	0.8965294118	0.3154711354
98	0.8975294118	0.313568725
99	0.8981176471	0.3124132068
100	0.8986470588	0.3111271347
101	0.9002352941	0.3092705223
102	0.9009411765	0.3077848452
103	0.9016470588	0.3069207951
104	0.9024705882	0.3056945654
105	0.9039411765	0.3043227861
106	0.9044117647	0.302754505
107	0.9055294118	0.3010995556
108	0.9062352941	0.2996546263
109	0.9068235294	0.2985271547
110	0.9072352941	0.2973452159
111	0.9079411765	0.295475984
112	0.9095294118	0.2936666417
113	0.9101176471	0.2924142309
114	0.9107058824	0.2917165415
115	0.9110588235	0.290854336
116	0.912	0.2897966184
117	0.9125882353	0.2880101068
118	0.9134705882	0.286196727
119	0.9138823529	0.2849808006
120	0.9148235294	0.2839191525
121	0.9148235294	0.2830715358
122	0.9150588235	0.2817076274
123	0.9164705882	0.2806436751
124	0.917	0.279203199
125	0.9180588235	0.2773108679
126	0.9185294118	0.2761761539
127	0.9185294118	0.2755139342
128	0.9189411765	0.2744696566
129	0.9194117647	0.2737530963
130	0.9205294118	0.2721556716
131	0.9212941176	0.2708742033
132	0.9217058824	0.2696583409
133	0.9221176471	0.2685799987
134	0.9222352941	0.2680032789
135	0.9227058824	0.266543259
136	0.9230588235	0.2658185272
137	0.9242941176	0.2645045838
138	0.9249411765	0.2633941379
139	0.9250588235	0.2626222969
140	0.9259411765	0.2616767527
141	0.9267647059	0.2601260621
142	0.9272941176	0.2592225517
143	0.9275882353	0.2583617209
144	0.9289411765	0.2569952623
145	0.9290588235	0.2562472319
146	0.9294705882	0.2553163607
147	0.9301764706	0.254272324
148	0.9307058824	0.2531717725
149	0.9315882353	0.2515208687
150	0.9319411765	0.2504961488
151	0.9320588235	0.2499772168
152	0.9324117647	0.2488706616
153	0.9331176471	0.2477621857
154	0.9335294118	0.2471297063
155	0.9341764706	0.2460142448
156	0.9341764706	0.2450378159
157	0.9344705882	0.2440057541
158	0.9354117647	0.2430635635
159	0.9354705882	0.2420347909
160	0.9361176471	0.241392447
161	0.9362941176	0.2406810326
162	0.9368235294	0.239710398
163	0.9375882353	0.2384259366
164	0.9379411765	0.2375198055
165	0.9391176471	0.2362321681
166	0.9396470588	0.2352856714
167	0.9402352941	0.2338355423
168	0.9413529412	0.2326337609
169	0.9412941176	0.2322659547
170	0.9424705882	0.2310184882
171	0.9430588235	0.2301512773
172	0.9431176471	0.2295259205
173	0.9437058824	0.2286648745
174	0.9438823529	0.2279402167
175	0.9437647059	0.2270680958
176	0.9445882353	0.2259080717
177	0.9447058824	0.2249558003
178	0.9451764706	0.2239926698
179	0.9456470588	0.2231591187
180	0.9463529412	0.2223759359
181	0.9464117647	0.2218247002
182	0.9468235294	0.2210694953
183	0.9471176471	0.220151561
184	0.9474705882	0.2194846906
185	0.9477058824	0.2188999578
186	0.9484705882	0.2177557104
187	0.9496470588	0.2169358471
188	0.9499411765	0.2157564053
189	0.9500588235	0.2150921625
190	0.9502352941	0.2144660429
191	0.9505294118	0.213734871
192	0.9511176471	0.2131039515
193	0.9517058824	0.2122095714
194	0.9519411765	0.2118254852
195	0.9520588235	0.2114493819
196	0.9518235294	0.2107763491
197	0.9524117647	0.2096225948
198	0.9526470588	0.2084188062
199	0.9532352941	0.2075555048
200	0.9535882353	0.2068390858
201	0.9541176471	0.2061666473
202	0.9547058824	0.2054214029
203	0.9550588235	0.2047470512
204	0.9555882353	0.2037800312
205	0.956	0.2031476106
206	0.9565294118	0.2023577917
207	0.9569411765	0.2015101635
208	0.957	0.2008860281
209	0.9571764706	0.2001253676
210	0.9577058824	0.1992819934
211	0.9574705882	0.1987834604
212	0.9581176471	0.1978211139
213	0.9584117647	0.1970213436
214	0.9585294118	0.1961274972
215	0.9587647059	0.1955301943
216	0.9588235294	0.1950553136
217	0.9600588235	0.1938604661
218	0.9605882353	0.1930644724
219	0.9609411765	0.1926006525
220	0.9614705882	0.1920305962
221	0.9615294118	0.1915091965
222	0.9614705882	0.190700539
223	0.9624705882	0.1900029846
224	0.9627058824	0.1894590391
225	0.9630588235	0.1883133982
226	0.9635882353	0.1873332941
227	0.9639411765	0.1864928211
228	0.9642941176	0.1860195181
229	0.9648823529	0.1850571309
230	0.9658823529	0.1840343847
231	0.9659411765	0.1836246204
232	0.9663529412	0.1829562856
233	0.9665882353	0.1821273709
234	0.9670588235	0.1815620505
235	0.9671764706	0.1811470785
236	0.9677647059	0.1802820963
237	0.9682941176	0.1795367036
238	0.9684705882	0.1790166403
239	0.9686470588	0.1786381773
240	0.9687058824	0.1783036675
241	0.9688235294	0.1772927264
242	0.969	0.1768240223
243	0.9691764706	0.1762697276
244	0.9691764706	0.1757857099
245	0.9695294118	0.1753221668
246	0.9696470588	0.1749295686
247	0.9694705882	0.174493421
248	0.9698235294	0.1739002054
249	0.9705294118	0.1732227786
250	0.9709411765	0.172665888
251	0.9713529412	0.1719368637
252	0.9712352941	0.1711775742
253	0.9715882353	0.1703331022
254	0.9718235294	0.1700487879
255	0.9729411765	0.1691523606
256	0.9731764706	0.1686409789
257	0.9733529412	0.1679663472
258	0.9733529412	0.1675483697
259	0.9738823529	0.1668939906
260	0.9738823529	0.1664263145
261	0.9738823529	0.1660616899
262	0.9742352941	0.1653251026
263	0.9743529412	0.1650471429
264	0.9744705882	0.1646278329
265	0.9743529412	0.1642624633
266	0.9747058824	0.1637590524
267	0.9749411765	0.1631822711
268	0.9752941176	0.1624929039
269	0.9754117647	0.1620702322
270	0.9758235294	0.1613625745
271	0.9757058824	0.160815782
272	0.9758235294	0.1601923207
273	0.9760588235	0.159844343
274	0.9764117647	0.1593187275
275	0.9766470588	0.1588785213
276	0.9766470588	0.1584907877
277	0.9769411765	0.1580862984
278	0.9771764706	0.1572635713
279	0.977	0.1568905979
280	0.9773529412	0.156427711
281	0.9778235294	0.1560338055
282	0.9778235294	0.1556183972
283	0.9781764706	0.1551347628
284	0.9781764706	0.1543565561
285	0.9785882353	0.1538360327
286	0.9785294118	0.1535779678
287	0.979	0.1531213348
288	0.9795882353	0.1523137979
289	0.9797647059	0.1516239075
290	0.98	0.1510969538
291	0.9802941176	0.150679063
292	0.9807058824	0.1501675121
293	0.9807647059	0.1498201136
294	0.9807058824	0.1494427558
295	0.9807058824	0.1492201981
296	0.981	0.1487690165
297	0.981	0.1483276351
298	0.9810588235	0.1480650273
299	0.9814117647	0.1474224056
300	0.9817058824	0.1466487769
301	0.9821176471	0.1461659323
302	0.9822352941	0.1457393254
303	0.9824705882	0.1451720857
304	0.9826470588	0.1448882337
305	0.9828235294	0.1443944692
306	0.9827647059	0.144161709
307	0.9830588235	0.1436060459
308	0.9830588235	0.1434154719
309	0.9831764706	0.1430644858
310	0.9837058824	0.1426312721
311	0.9838823529	0.1423641787
312	0.9835294118	0.141828028
313	0.9837647059	0.1413221563
314	0.9840588235	0.1409622071
315	0.984	0.1403880724
316	0.9844117647	0.1398057075
317	0.9842941176	0.1395032527
318	0.9844705882	0.1391715578
319	0.9845294118	0.1389161989
320	0.9845882353	0.1384779845
321	0.9850588235	0.138172822
322	0.9852352941	0.1376616946
323	0.9853529412	0.1370549181
324	0.9853529412	0.1367063895
325	0.9854117647	0.1364114809
326	0.9856470588	0.1358799863
327	0.9857058824	0.1356259989
328	0.986	0.1349864771
329	0.9863529412	0.1346137812
330	0.9861176471	0.1343605137
331	0.9863529412	0.1339985726
332	0.9865882353	0.1335123011
333	0.9865882353	0.1331983555
334	0.9865882353	0.1329615385
335	0.9866470588	0.132676259
336	0.9871176471	0.1322690549
337	0.9871176471	0.1319516404
338	0.9872941176	0.1314717441
339	0.9874117647	0.1311237309
340	0.9878235294	0.1306326553
341	0.9877647059	0.1300950842
342	0.9877058824	0.1297736639
343	0.9881764706	0.1292674427
344	0.9884705882	0.128890089
345	0.9883529412	0.1287851056
346	0.9882941176	0.1285036342
347	0.9882352941	0.1282179475
348	0.9887058824	0.1277918607
349	0.9886470588	0.1276092222
350	0.9887647059	0.1271683318
351	0.9889411765	0.1267784068
352	0.989	0.1265527016
353	0.9891764706	0.1262769879
354	0.9895294118	0.1255668867
355	0.9895882353	0.1253657999
356	0.9895294118	0.125008821
357	0.9895882353	0.1244121973
358	0.9897647059	0.1239881032
359	0.9898823529	0.123639643
360	0.9898235294	0.1233981927
361	0.9899411765	0.1229810016
362	0.9898823529	0.1227721874
363	0.99	0.122525538
364	0.99	0.1223248663
365	0.9900588235	0.1220555092
366	0.9902941176	0.1216036596
367	0.9903529412	0.1214163129
368	0.9904705882	0.1211052916
369	0.9904117647	0.1207898625
370	0.9904705882	0.1205886934
371	0.9905882353	0.1200425973
372	0.9905882353	0.119585979
373	0.9905294118	0.1193492786
374	0.9906470588	0.1191818082
375	0.9907647059	0.1188471706
376	0.991	0.1184066981
377	0.9910588235	0.1180844282
378	0.9914705882	0.1175193997
379	0.9915882353	0.1173146921
380	0.9916470588	0.117048997
381	0.9915294118	0.116821156
382	0.9915294118	0.1166189556
383	0.9916470588	0.1163067063
384	0.9917058824	0.1161046975
385	0.9920588235	0.1157703761
386	0.9919411765	0.1154943433
387	0.9921176471	0.1151511784
388	0.9920588235	0.1148361622
389	0.9921176471	0.1145841741
390	0.9921176471	0.1144095015
391	0.9921764706	0.1140866493
392	0.9921764706	0.1137806817
393	0.9923529412	0.1134282588
394	0.9924117647	0.1131711873
395	0.9922941176	0.1128848856
396	0.9924117647	0.1126584374
397	0.9925882353	0.1122814005
398	0.9924705882	0.1118367724
399	0.9925294118	0.1114788058
400	0.9927058824	0.1111066427
401	0.9928823529	0.1107424713
402	0.993	0.1103055294
403	0.9931764706	0.1100070948
404	0.9932352941	0.109632065
405	0.9931176471	0.1092856663
406	0.9932352941	0.1089645874
407	0.9932941176	0.1085690735
408	0.9934705882	0.1082265366
409	0.9936470588	0.1078381899
410	0.9935294118	0.1076370477
411	0.9937647059	0.1074498235
412	0.9938235294	0.1072557425
413	0.9936470588	0.1069470588
414	0.994	0.1066130412
415	0.994	0.1062512364
416	0.9940588235	0.1060182808
417	0.9941176471	0.1057018103
418	0.9941176471	0.1051960363
419	0.9941176471	0.1049569274
420	0.9941176471	0.1047049981
421	0.9943529412	0.1042543011
422	0.9942352941	0.1039567262
423	0.9942352941	0.1037382361
424	0.9942941176	0.103360466
425	0.9944705882	0.103038371
426	0.9944705882	0.1027653516
427	0.9944117647	0.1025650748
428	0.9946470588	0.1023584632
429	0.9947647059	0.1021434524
430	0.9947647059	0.1020135854
431	0.9949411765	0.1016759888
432	0.9951176471	0.1013611064
433	0.9951176471	0.1012188532
434	0.9950588235	0.1011051715
435	0.9951764706	0.1007856365
436	0.9950588235	0.1004241155
437	0.9951764706	0.100115616
438	0.9952352941	0.09990283474
439	0.9953529412	0.09960856121
440	0.9953529412	0.09928855615
441	0.9955882353	0.09898778819
442	0.9956470588	0.09884905443
443	0.9955882353	0.09863887879
444	0.9955294118	0.09844956576
445	0.9955882353	0.09829498986
446	0.9957058824	0.09800317603
447	0.9954705882	0.09759478073
448	0.9958823529	0.097165744
449	0.9958823529	0.09691006911
450	0.9959411765	0.09676313852
451	0.9958823529	0.09665017987
452	0.9959411765	0.09630734527
453	0.9958823529	0.09604732424
454	0.9959411765	0.0958578672
455	0.9959411765	0.09567469164
456	0.9961176471	0.09537955771
457	0.9961764706	0.0952217294
458	0.9963529412	0.09493263797
459	0.9964117647	0.0947262493
460	0.9965882353	0.09455167034
461	0.9967058824	0.09428845275
462	0.9967647059	0.09411932356
463	0.9967058824	0.0938991398
464	0.9967058824	0.09371154839
465	0.9967647059	0.0936140604
466	0.9968823529	0.09348361929
467	0.9968823529	0.09330530745
468	0.9968823529	0.09318240574
469	0.9969411765	0.09296941712
470	0.9969411765	0.09280935268
471	0.9968823529	0.09265689157
472	0.9968235294	0.09249755816
473	0.9968823529	0.09228514315
474	0.9968235294	0.09210323504
475	0.9971176471	0.09176175187
476	0.9973529412	0.09136662269
477	0.9973529412	0.09121961456
478	0.9973529412	0.09103055991
479	0.9972352941	0.09067841786
480	0.9972941176	0.09038022684
481	0.9972941176	0.09021907213
482	0.9974117647	0.08987075499
483	0.9974117647	0.08956304971
484	0.9974117647	0.08931316745
485	0.9973529412	0.08905851598
486	0.9973529412	0.08895026609
487	0.9973529412	0.08882111323
488	0.9974705882	0.0885442933
489	0.9974117647	0.08840430373
490	0.9974705882	0.08809805739
491	0.9975294118	0.08792673726
492	0.9976470588	0.08772391479
493	0.9977058824	0.08746279293
494	0.9977647059	0.08731154371
495	0.9975882353	0.0870135678
496	0.9976470588	0.08675611972
497	0.9977058824	0.08651546887
498	0.9977058824	0.08639014884
499	0.9977058824	0.08628442526
500	0.9975882353	0.08596092559
501	0.9975882353	0.08584485938
502	0.9977647059	0.08565557067
503	0.9977647059	0.08541904432
504	0.9977647059	0.08530441867
505	0.9978823529	0.08507713506
506	0.9977647059	0.08495869769
507	0.9978235294	0.08474550569
508	0.9977647059	0.08464007013
509	0.9978235294	0.084429597
510	0.9978235294	0.08416915517
511	0.9978823529	0.0840384786
512	0.9979411765	0.0837327512
513	0.9979411765	0.08353521735
514	0.9979411765	0.08342009882
515	0.9979411765	0.08318640823
516	0.998	0.08287555672
517	0.998	0.0827658112
518	0.998	0.08255511789
519	0.9980588235	0.08238305985
520	0.9981176471	0.08223103578
521	0.9981176471	0.0819439442
522	0.9981764706	0.08175514514
523	0.9980588235	0.08157434482
524	0.9981176471	0.08141322587
525	0.9980588235	0.08124767
526	0.9980588235	0.08105297217
527	0.9981176471	0.08091898903
528	0.9980588235	0.08079720769
529	0.9981764706	0.08063660658
530	0.9981764706	0.08053047943
531	0.9981764706	0.08037740211
532	0.9981176471	0.08021455961
533	0.9981176471	0.08006018672
534	0.9981176471	0.07994108241
535	0.9981176471	0.07989137051
536	0.9982352941	0.07963882045
537	0.9982941176	0.07944726282
538	0.9984117647	0.07924053025
539	0.9984117647	0.07910691032
540	0.9983529412	0.07895550653
541	0.9983529412	0.07878579885
542	0.9982941176	0.07863639671
543	0.9982941176	0.07842831248
544	0.9984117647	0.07813453915
545	0.9984705882	0.07795783355
546	0.9984705882	0.07769703761
547	0.9984705882	0.07747337202
548	0.9986470588	0.0772406437
549	0.9985882353	0.07708691228
550	0.9986470588	0.07686631791
551	0.9986470588	0.07667555158
552	0.9986470588	0.07644885203
553	0.9986470588	0.0762905234
554	0.9987058824	0.07601891606
555	0.9988235294	0.07572191696
556	0.9988235294	0.07554549244
557	0.9988823529	0.0753831907
558	0.999	0.07520516203
559	0.999	0.0750855636
560	0.999	0.07494623682
561	0.999	0.0748474752
562	0.999	0.07465216063
563	0.999	0.0744494465
564	0.9990588235	0.074233699
565	0.9991176471	0.07412530244
566	0.9991176471	0.07393344202
567	0.9991176471	0.07380294429
568	0.9990588235	0.07359946617
569	0.9990588235	0.07337989069
570	0.9990588235	0.07323692619
571	0.9991176471	0.07308140845
572	0.9990588235	0.07298537646
573	0.9991176471	0.07285800227
574	0.9991764706	0.07257809764
575	0.9991764706	0.07231854233
576	0.9991764706	0.07209712531
577	0.9991764706	0.07183159126
578	0.9991764706	0.07165076277
579	0.9991764706	0.07150119171
580	0.9992352941	0.07131038062
581	0.9992352941	0.07120412683
582	0.9992352941	0.07107467476
583	0.9992352941	0.07092387092
584	0.9991764706	0.07071813333
585	0.9992352941	0.07059398916
586	0.9992941176	0.07046805202
587	0.9992941176	0.07032241654
588	0.9992941176	0.07015807239
589	0.9992941176	0.07000972313
590	0.9992941176	0.06986147326
591	0.9992941176	0.06972741471
592	0.9992941176	0.06960539479
593	0.9992941176	0.06949635281
594	0.9992941176	0.06938606015
595	0.9992941176	0.06929553692
596	0.9992941176	0.06916920155
597	0.9992941176	0.06902375788
598	0.9993529412	0.06888296545
599	0.9993529412	0.0687236087
600	0.9993529412	0.06853006735
601	0.9993529412	0.06842641476
602	0.9993529412	0.06830788103
603	0.9993529412	0.06817349712
604	0.9993529412	0.06807008091
605	0.9994117647	0.06789719178
606	0.9994117647	0.06779992363
607	0.9994117647	0.06761150555
608	0.9994117647	0.06744640482
609	0.9994117647	0.06732547271
610	0.9994117647	0.06712737879
611	0.9994117647	0.06703877513
612	0.9994117647	0.06688673983
613	0.9994117647	0.06685055658
614	0.9994117647	0.06677101832
615	0.9994117647	0.0665982623
616	0.9994117647	0.06642723537
617	0.9994117647	0.06625425572
618	0.9994117647	0.06609650355
619	0.9994117647	0.06599284213
620	0.9994117647	0.06583617722
621	0.9994117647	0.06570548176
622	0.9994117647	0.06552328224
623	0.9994117647	0.06539117409
624	0.9994117647	0.06531552273
625	0.9994117647	0.06511815532
626	0.9994117647	0.06494018709
627	0.9994117647	0.06481172002
628	0.9994117647	0.06463534043
629	0.9995294118	0.06453473382
630	0.9995294118	0.0643783452
631	0.9995294118	0.06421895408
632	0.9995294118	0.06400378087
633	0.9995294118	0.0639210385
634	0.9995294118	0.06383587408
635	0.9995294118	0.06369197874
636	0.9995294118	0.06361391597
637	0.9995294118	0.06354281505
638	0.9995294118	0.06334068418
639	0.9995294118	0.06317322889
640	0.9995294118	0.06306097949
641	0.9995294118	0.06287898968
642	0.9995294118	0.06274494241
643	0.9995294118	0.06256882009
644	0.9995882353	0.06239188744
645	0.9996470588	0.0622796957
646	0.9996470588	0.06218918847
647	0.9996470588	0.06210502304
648	0.9996470588	0.06194029353
649	0.9996470588	0.06183345802
650	0.9996470588	0.06176726205
651	0.9996470588	0.06159165587
652	0.9996470588	0.06145874173
653	0.9996470588	0.06137353457
654	0.9996470588	0.06129247146
655	0.9996470588	0.06121636827
656	0.9997058824	0.06112101271
657	0.9997058824	0.06097155051
658	0.9997647059	0.06086243289
659	0.9997647059	0.06069944707
660	0.9997647059	0.06056040076
661	0.9997647059	0.0604330107
662	0.9997647059	0.0603585612
663	0.9997647059	0.06028537988
664	0.9997647059	0.06013099427
665	0.9997647059	0.06002325871
666	0.9997647059	0.05997332534
667	0.9997058824	0.05981331272
668	0.9997058824	0.05972221441
669	0.9997058824	0.05963741737
670	0.9997058824	0.05956523297
671	0.9997058824	0.0594584483
672	0.9997058824	0.0593456654
673	0.9997647059	0.05923834296
674	0.9997647059	0.05912435276
675	0.9997647059	0.05901159357
676	0.9997647059	0.05882836394
677	0.9997647059	0.05869358556
678	0.9997647059	0.05858773169
679	0.9997647059	0.05842419711
680	0.9997647059	0.05835055808
681	0.9997647059	0.05824330736
682	0.9997647059	0.0581590839
683	0.9997647059	0.05809646447
684	0.9997647059	0.05800702626
685	0.9997058824	0.05787008896
686	0.9998235294	0.05772204997
687	0.9998823529	0.05756061143
688	0.9998235294	0.05744459415
689	0.9998235294	0.05734744493
690	0.9998823529	0.05720142138
691	0.9998823529	0.05709165985
692	0.9999411765	0.05696823044
693	0.9998823529	0.05681842278
694	0.9998823529	0.05668726483
695	0.9998823529	0.05658097847
696	0.9999411765	0.05649856364
697	0.9999411765	0.05632805645
698	0.9999411765	0.05625920387
699	0.9999411765	0.05619399294
700	0.9999411765	0.05600851721
701	0.9999411765	0.05591871623
702	0.9998823529	0.05583969483
703	0.9998823529	0.05578084011
704	0.9999411765	0.05565169383
705	0.9999411765	0.05559010802
706	0.9999411765	0.05548155802
707	0.9999411765	0.05539318703
708	0.9999411765	0.0553347559
709	0.9998823529	0.05517759914
710	0.9999411765	0.05501430553
711	0.9999411765	0.05493819533
712	0.9999411765	0.05482283158
713	0.9999411765	0.05474808846
714	0.9999411765	0.05464771563
715	0.9999411765	0.05452914912
716	0.9999411765	0.05446131972
717	0.9999411765	0.0543771935
718	0.9999411765	0.05430394234
719	0.9999411765	0.05420989477
720	0.9999411765	0.05416449241
721	0.9999411765	0.05407954561
722	0.9999411765	0.05400510857
723	0.9999411765	0.05393661577
724	0.9998823529	0.05388054101
